frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
0,61.079,59.572,0.019,0.026,0.041,0,0,,1,0,366927872,422764544,1,135409664,135409664,301572096,38823561584,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24124,0.06,0.744,0.011
1,53.524,51.123,0.014,0.035,0.104,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24104,0.046,1.294,0.015
2,35.181,32.878,0.011,0.017,0.049,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24084,0.088,1.171,0.012
3,49.503,48.014,0.018,0.026,0.041,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24072,0.042,0.719,0.01
4,40.04,38.622,0.012,0.017,0.047,0,0,,0,,,,0,,,,,40,40,0,33,3,336,3,6,1,0,1,348,349,350,2,192,1,32,2,0,24060,0.035,0.689,0.01
5,64.003,62.607,0.012,0.018,0.04,0,0,,0,,,,0,,,,,40,40,0,33,3,335,3,6,1,0,1,347,348,349,2,192,1,32,2,0,24060,0.077,0.647,0.009
6,24.389,22.593,0.014,0.02,0.049,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24012,0.052,0.958,0.011
7,23.183,21.668,0.016,0.022,0.053,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24020,0.052,0.582,0.009
8,24.928,23.644,0.016,0.022,0.04,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24012,0.049,0.607,0.01
9,43.136,41.857,0.018,0.025,0.039,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24040,0.056,0.603,0.008
10,31.296,29.895,0.011,0.02,0.052,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24060,0.041,0.713,0.009
11,32.349,30.495,0.014,0.018,0.05,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24032,0.065,0.963,0.011
12,24.185,22.59,0.017,0.024,0.079,0,0,,0,,,,0,,,,,40,40,0,33,3,330,3,6,1,0,1,342,343,344,2,192,1,32,2,0,23988,0.053,0.793,0.01
13,38.123,36.544,0.022,0.027,0.046,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,23988,0.03,0.749,0.01
14,93.564,91.917,0.016,0.019,0.052,0,0,,0,,,,0,,,,,40,40,0,33,3,329,3,6,1,0,1,341,342,343,2,192,1,32,2,0,23968,0.037,0.764,0.01
15,52.126,50.558,0.013,0.019,0.043,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,24104,0.044,0.805,0.009
16,82.437,80.725,0.021,0.026,0.046,0,0,,0,,,,0,,,,,40,40,0,33,3,326,3,6,1,0,1,338,339,340,2,192,1,32,2,0,24068,0.059,0.818,0.011
17,123.141,121.39,0.017,0.023,0.064,0,0,,0,,,,0,,,,,40,40,0,33,3,327,3,6,1,0,1,339,340,341,2,192,1,32,2,0,24072,0.053,0.679,0.01
18,48.291,46.665,0.015,0.02,0.048,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,24004,0.046,0.88,0.011
19,41.716,40.284,0.014,0.02,0.05,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,24000,0.054,0.645,0.009
20,58.07,56.573,0.012,0.018,0.049,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,24028,0.036,0.776,0.01
21,48.396,46.803,0.014,0.018,0.046,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24092,0.039,0.824,0.01
22,92.323,89.305,0.026,0.021,0.747,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24100,0.049,1.122,0.014
23,33.91,32.3,0.038,0.023,0.055,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24016,0.044,0.731,0.012
24,31.178,29.802,0.011,0.015,0.041,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24048,0.035,0.7,0.009
25,26.898,24.967,0.031,0.021,0.047,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24024,0.049,1.092,0.014
26,33.686,32,0.017,0.023,0.053,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,23960,0.067,0.828,0.009
27,27.012,24.521,0.018,0.022,0.21,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,23980,0.085,1.186,0.015
28,24.384,22.423,0.017,0.022,0.081,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,23920,0.052,1.009,0.011
29,58.18,56.693,0.023,0.031,0.043,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,23948,0.074,0.716,0.009
30,21.595,20.09,0.012,0.017,0.048,0,0,,1,15.625,366931968,422711296,1,135409664,135409664,301572096,38823561584,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,23976,0.037,0.781,0.01
31,22.423,20.7,0.009,0.013,0.049,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24008,0.03,0.971,0.013
32,22.283,21.006,0.023,0.029,0.045,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24012,0.036,0.576,0.008
33,26.394,24.607,0.016,0.022,0.033,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24028,0.086,0.858,0.015
34,28.72,27.346,0.024,0.031,0.034,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24040,0.08,0.631,0.01
35,22.378,21.015,0.015,0.02,0.036,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24048,0.047,0.705,0.009
