frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
0,24.12,21.511,0.01,0.022,0.088,0,0,,1,0,366936064,422760448,1,135409664,135409664,301572096,38823561584,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24124,0.051,1.282,0.017
1,27.758,26.634,0.02,0.025,0.045,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24120,0.035,0.513,0.008
2,22.472,21.011,0.01,0.014,0.049,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24088,0.032,0.749,0.011
3,26.551,23.943,0.017,0.022,0.038,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24104,0.056,1.437,0.015
4,27.717,26.286,0.027,0.035,0.04,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24100,0.072,0.693,0.008
5,35.918,33.818,0.012,0.017,0.115,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24096,0.04,0.881,0.015
6,44.229,42.265,0.017,0.021,0.085,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24056,0.047,0.911,0.013
7,32.958,31.241,0.015,0.022,0.063,0,0,,0,,,,0,,,,,40,40,0,33,3,336,3,6,1,0,1,348,349,350,2,192,1,32,2,0,24080,0.044,0.835,0.012
8,28.451,26.27,0.018,0.025,0.064,0,0,,0,,,,0,,,,,40,40,0,33,3,335,3,6,1,0,1,347,348,349,2,192,1,32,2,0,24060,0.061,1.126,0.011
9,24.502,22.83,0.015,0.018,0.058,0,0,,0,,,,0,,,,,40,40,0,33,3,335,3,6,1,0,1,347,348,349,2,192,1,32,2,0,24036,0.072,0.83,0.012
10,29.681,27.905,0.019,0.021,0.076,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24012,0.044,0.918,0.011
11,35.975,33.434,0.02,0.027,0.081,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24020,0.053,1.283,0.015
12,43.328,41.765,0.018,0.024,0.04,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24008,0.07,0.812,0.01
13,49.96,47.431,0.019,0.024,0.086,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24064,0.051,1.156,0.015
14,48.571,46.804,0.015,0.02,0.05,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24024,0.069,0.932,0.011
15,31.415,29.19,0.017,0.024,0.061,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,23988,0.048,1.125,0.013
16,26.661,25.163,0.011,0.015,0.057,0,0,,0,,,,0,,,,,40,40,0,33,3,329,3,6,1,0,1,341,342,343,2,192,1,32,2,0,23972,0.033,0.758,0.01
17,45.052,42.597,0.02,0.024,0.069,0,0,,0,,,,0,,,,,40,40,0,33,3,329,3,6,1,0,1,341,342,343,2,192,1,32,2,0,24036,0.058,1.37,0.014
18,29.167,25.897,0.042,0.025,0.074,0,0,,0,,,,0,,,,,40,40,0,33,3,329,3,6,1,0,1,341,342,343,2,192,1,32,2,0,24080,0.057,1.825,0.017
19,50.847,47.541,0.021,0.027,0.103,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,24104,0.062,1.642,0.017
20,145.101,142.941,0.017,0.021,0.054,0,0,,0,,,,0,,,,,40,40,0,33,3,326,3,6,1,0,1,338,339,340,2,192,1,32,2,0,24092,0.107,1.227,0.013
21,40.598,38.806,0.015,0.019,0.052,0,0,,0,,,,0,,,,,40,40,0,33,3,327,3,6,1,0,1,339,340,341,2,192,1,32,2,0,24080,0.072,0.931,0.012
22,31.575,28.863,0.02,0.025,0.085,0,0,,0,,,,0,,,,,40,40,0,33,3,329,3,6,1,0,1,341,342,343,2,192,1,32,2,0,24036,0.089,1.443,0.014
23,41.707,38.733,0.021,0.025,0.087,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,23996,0.105,1.527,0.017
24,37.874,35.974,0.016,0.018,0.071,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,24000,0.071,0.923,0.012
25,39.61,37.283,0.019,0.022,0.078,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,24028,0.075,1.055,0.012
26,40.108,37.112,0.012,0.015,0.042,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24076,0.378,1.338,0.012
27,37.355,35.12,0.012,0.015,0.053,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24104,0.057,1.426,0.013
28,53.903,49.624,0.013,0.016,1.068,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24076,0.065,1.834,0.018
29,47.295,44.295,0.016,0.02,0.071,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24016,0.071,1.82,0.024
30,52.378,50.705,0.012,0.018,0.088,0,0,,1,78.125,366952448,422715392,1,135409664,135409664,301572096,38823561584,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24032,0.058,0.744,0.01
31,46.964,44.687,0.018,0.023,0.077,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,23992,0.052,1.116,0.014
32,33.727,30.617,0.021,0.027,0.244,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,23980,0.061,1.307,0.015
33,44.196,41.399,0.015,0.02,0.063,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,23948,0.064,1.471,0.015
34,44.311,41.763,0.025,0.03,0.076,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,23948,0.078,1.193,0.014
35,23.845,21.858,0.016,0.024,0.057,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,23976,0.056,1.116,0.013
36,24.743,23.533,0.009,0.014,0.037,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24008,0.059,0.593,0.01
37,23.452,21.737,0.018,0.026,0.05,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,23996,0.054,0.841,0.01
38,23.957,21.973,0.019,0.025,0.046,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24040,0.059,1.067,0.016
39,28.422,27.026,0.02,0.027,0.043,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24044,0.095,0.654,0.01
40,27.809,26.236,0.014,0.02,0.057,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24064,0.039,0.799,0.011
41,31.414,29.777,0.017,0.024,0.05,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24040,0.063,0.791,0.01
