"scenario","phase","repeat","source_hash","build_id","content_hash","shader_hash","timed_frames","actual_duration_ms","measured_frames_per_second","wall_median_ms","wall_p95_ms","wall_p99_ms","gpu_median_ms","gpu_p95_ms","gpu_p99_ms","wait_median_ms","view_median_ms","gather_median_ms","plan_median_ms","upload_median_ms","raw_instances","visible_min","visible_max","lights_min","lights_max","draws_median","dispatches_median","shadow_faces_median","shadow_cache_hits_median","batches_median","asset_upload_max_bytes","dynamic_upload_median_bytes","private_peak_bytes","working_set_peak_bytes","vma_peak_bytes","vma_budget_peak_bytes"
"instances-10000-moving","baseline","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","200","5013,847","39,88952993579581","19,9865","53,2239","110,28516","7,42716127701","54,900972618","102,325488127","0,001","1,783","4,198","10,2675","0,119","10004","10004","10004","2","2","32","1","9","0","1","0","1426800","308920320","244387840","73789376","38823561584"
"instances-10000-moving","candidate","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","175","5008,729","34,939003487711155","21,485","67,5978","96,4039","8,74588520314","64,4781703008","83,7460104554","0,001","1,834","4,393","10,163","0,119","10004","10004","10004","2","2","32","1","9","0","1","0","1426956","307982336","243556352","73789376","38823561584"
"instances-10000-moving","candidate","2","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","194","5001,146","38,79110907779937","20,5135","57,34185","79,28419","13,1494007206","51,9081315452","76,0051257486","0,001","1,7985","4,1579999999999995","10,0855","0,121","10004","10004","10004","2","2","32","1","9","0","1","0","1426898","308436992","244068352","73789376","38823561584"
"instances-10000-moving","baseline","2","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","213","5008,341","42,52905303372913","21,899","35,8014","50,8348","14,8724475536","32,9426450291","44,7026468253","0,002","1,883","4,44","10,747","0,121","10004","10004","10004","2","2","32","1","9","0","1","0","1426716","309972992","245211136","73789376","38823561584"
"instances-10000-moving","baseline","3","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","221","5043,501","43,81876795503758","20,814","38,055","51,0504","11,1592705609","36,5202595251","49,8215612837","0,001","1,799","4,28","10,186","0,117","10004","10004","10004","2","2","32","1","9","0","1","0","1426724","308801536","244211712","73789376","38823561584"
"instances-10000-moving","candidate","3","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","207","5007,307","41,339586328539475","20,811","45,0784","78,75554","10,7990622364","47,8479884152","76,3251377199","0,001","1,718","4,018","10,078","0,117","10004","10004","10004","2","2","32","1","9","0","1","0","1426888","310099968","245051392","73789376","38823561584"
"instances-10000-moving","candidate","4","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","172","5009,552","34,334407547820646","23,1695","68,3633","91,31556","14,3301819418","59,8876443712","83,2315599471","0,002","1,8275","4,3595","11,537500000000001","0,122","10004","10004","10004","2","2","32","1","9","0","1","0","1426810","308404224","244051968","73789376","38823561584"
"instances-10000-moving","baseline","4","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","177","5006,726","35,35244389247585","21,241","66,0902","152,0096","13,2002080111","59,6835193762","145,131944373","0,001","1,947","4,405","10,453","0,12","10004","10004","10004","2","2","32","1","9","0","1","0","1426716","309084160","244596736","73789376","38823561584"
"moving-lights-32","baseline","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","f0370a25be53b7f8d09fc1019c57117f9c661d69737f725d60ab293b9c2ccc65","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","131","5018,912","26,10127453918299","32,506","85,0505","110,3373","31,006092993","84,8718208446","109,258382749","31,395","0,021","0,047","0,751","0,01","40","40","40","33","33","345","2","192","1","2","0","24048","422764544","366944256","135409664","38823561584"
"moving-lights-32","candidate","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","f0370a25be53b7f8d09fc1019c57117f9c661d69737f725d60ab293b9c2ccc65","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","103","5009,079","20,562662317763408","33,177","112,1441","191,49536","32,5056762897","110,247632725","172,864069738","31,357","0,023","0,05","0,857","0,011","40","40","40","33","33","344","2","192","1","2","0","24048","422502400","365043712","135409664","38823561584"
