kind,index,name,duration_ms,from_cache,source_hash,source_id,working_set_bytes,private_bytes,peak_working_set_bytes,peak_private_bytes,restored
stage,0,initial_import,106.768,0,cd44f7f822ce27933d3368d29c5c566289724418ac7c00e5083b5cdbcaaa7815,,14893056,9400320,14893056,9400320,
stage,0,cooked_cold_load,86.164,0,cd44f7f822ce27933d3368d29c5c566289724418ac7c00e5083b5cdbcaaa7815,,20582400,15011840,20582400,15011840,
stage,0,cooked_warm_load,28.98,1,cd44f7f822ce27933d3368d29c5c566289724418ac7c00e5083b5cdbcaaa7815,,26275840,20746240,26275840,20746240,
stage,0,material_document_asset_load_unload,259.197,1,cd44f7f822ce27933d3368d29c5c566289724418ac7c00e5083b5cdbcaaa7815,,26726400,20750336,26726400,20750336,
stage,0,file_move_redo_1,101.982,0,,,15757312,9904128,15757312,9904128,
stage,0,file_move_undo_1,91.28,0,,,15761408,9904128,15761408,9904128,
stage,0,file_move_redo_again_1,101.29,0,,,15761408,9904128,15761408,9904128,
stage,0,file_move_final_undo_1,109.324,0,,,15761408,9904128,15761408,9904128,
stage,0,file_copy_redo_1,68.669,0,,,15716352,9883648,15716352,9883648,
stage,0,file_copy_undo_1,61.122,0,,,15724544,9883648,15724544,9883648,
stage,0,file_copy_redo_again_1,62.651,0,,,15724544,9883648,15724544,9883648,
stage,0,file_copy_final_undo_1,59.887,0,,,15724544,9883648,15724544,9883648,
stage,0,file_move_redo_2,91.089,0,,,15745024,9900032,15745024,9900032,
stage,0,file_move_undo_2,93.128,0,,,15757312,9908224,15757312,9908224,
stage,0,file_move_redo_again_2,92.578,0,,,15757312,9908224,15757312,9908224,
stage,0,file_move_final_undo_2,89.256,0,,,15757312,9908224,15757312,9908224,
stage,0,file_copy_redo_2,68.925,0,,,15769600,9895936,15769600,9895936,
stage,0,file_copy_undo_2,60.075,0,,,15777792,9904128,15777792,9904128,
stage,0,file_copy_redo_again_2,353.723,0,,,15781888,9916416,15781888,9916416,
stage,0,file_copy_final_undo_2,67.668,0,,,15781888,9916416,15781888,9916416,
stage,0,file_move_redo_3,89.648,0,,,15806464,9912320,15806464,9912320,
stage,0,file_move_undo_3,87.529,0,,,15818752,9924608,15818752,9924608,
stage,0,file_move_redo_again_3,98.859,0,,,15818752,9924608,15818752,9924608,
stage,0,file_move_final_undo_3,97.812,0,,,15818752,9924608,15818752,9924608,
stage,0,file_copy_redo_3,73.894,0,,,15826944,9924608,15826944,9924608,
stage,0,file_copy_undo_3,66.263,0,,,15826944,9924608,15826944,9924608,
stage,0,file_copy_redo_again_3,71.13,0,,,15826944,9924608,15826944,9924608,
stage,0,file_copy_final_undo_3,61.624,0,,,15826944,9924608,15826944,9924608,
stage,0,file_move_redo_4,85.768,0,,,15785984,9629696,15785984,9629696,
stage,0,file_move_undo_4,87.123,0,,,15790080,9924608,15790080,9924608,
stage,0,file_move_redo_again_4,89.781,0,,,15790080,9924608,15790080,9924608,
stage,0,file_move_final_undo_4,96.756,0,,,15802368,9924608,15802368,9924608,
stage,0,file_copy_redo_4,79.579,0,,,15810560,9916416,15810560,9916416,
stage,0,file_copy_undo_4,64.806,0,,,15818752,9924608,15818752,9924608,
stage,0,file_copy_redo_again_4,70.252,0,,,15818752,9924608,15818752,9924608,
stage,0,file_copy_final_undo_4,60.112,0,,,15880192,9994240,15880192,9994240,
stage,0,file_move_redo_5,94.814,0,,,15872000,9994240,15872000,9994240,
stage,0,file_move_undo_5,88.453,0,,,15880192,9994240,15880192,9994240,
stage,0,file_move_redo_again_5,92.974,0,,,15880192,9994240,15880192,9994240,
stage,0,file_move_final_undo_5,95.45,0,,,15880192,9994240,15880192,9994240,
stage,0,file_copy_redo_5,69.69,0,,,15859712,9977856,15859712,9977856,
stage,0,file_copy_undo_5,59.118,0,,,15863808,9994240,15863808,9994240,
stage,0,file_copy_redo_again_5,62.76,0,,,15876096,9994240,15876096,9994240,
stage,0,file_copy_final_undo_5,62.914,0,,,15876096,9994240,15876096,9994240,
stage,0,file_move_redo_6,91.688,0,,,15912960,9994240,15912960,9994240,
stage,0,file_move_undo_6,95.788,0,,,15863808,9715712,15912960,9994240,
stage,0,file_move_redo_again_6,93.804,0,,,15863808,9715712,15863808,9715712,
stage,0,file_move_final_undo_6,94.568,0,,,15863808,9715712,15863808,9715712,
stage,0,file_copy_redo_6,72.611,0,,,15867904,9715712,15867904,9715712,
stage,0,file_copy_undo_6,58.374,0,,,15867904,9715712,15867904,9715712,
stage,0,file_copy_redo_again_6,64.613,0,,,15876096,9994240,15876096,9994240,
stage,0,file_copy_final_undo_6,58.991,0,,,15876096,9994240,15876096,9994240,
stage,0,file_move_redo_7,97.211,0,,,15867904,9715712,15867904,9715712,
stage,0,file_move_undo_7,88.142,0,,,15867904,9715712,15867904,9715712,
stage,0,file_move_redo_again_7,98.462,0,,,15867904,9715712,15867904,9715712,
stage,0,file_move_final_undo_7,95.757,0,,,15867904,9715712,15867904,9715712,
stage,0,file_copy_redo_7,66.292,0,,,15863808,9994240,15863808,9994240,
stage,0,file_copy_undo_7,58.481,0,,,15863808,9994240,15863808,9994240,
stage,0,file_copy_redo_again_7,66.669,0,,,15863808,9994240,15863808,9994240,
stage,0,file_copy_final_undo_7,69.413,0,,,15867904,9994240,15867904,9994240,
stage,0,file_move_redo_8,101.369,0,,,15880192,10002432,15880192,10002432,
stage,0,file_move_undo_8,116.552,0,,,15880192,10002432,15880192,10002432,
stage,0,file_move_redo_again_8,99.235,0,,,15880192,10002432,15880192,10002432,
stage,0,file_move_final_undo_8,598.523,0,,,15892480,10018816,15892480,10018816,
stage,0,file_copy_redo_8,85.777,0,,,15925248,10018816,15925248,10018816,
stage,0,file_copy_undo_8,77.08,0,,,15929344,10018816,15929344,10018816,
stage,0,file_copy_redo_again_8,90.405,0,,,15929344,10018816,15929344,10018816,
stage,0,file_copy_final_undo_8,147.862,0,,,15929344,10018816,15929344,10018816,
stage,0,file_move_redo_9,107.511,0,,,15908864,9773056,15908864,9773056,
stage,0,file_move_undo_9,111.636,0,,,15912960,9773056,15912960,9773056,
stage,0,file_move_redo_again_9,113.98,0,,,15921152,9773056,15921152,9773056,
stage,0,file_move_final_undo_9,100.401,0,,,15921152,9773056,15921152,9773056,
stage,0,file_copy_redo_9,70.282,0,,,15937536,10006528,15937536,10006528,
stage,0,file_copy_undo_9,65.376,0,,,15945728,10018816,15945728,10018816,
stage,0,file_copy_redo_again_9,74.906,0,,,15962112,10035200,15962112,10035200,
stage,0,file_copy_final_undo_9,63.746,0,,,15962112,10035200,15962112,10035200,
stage,0,file_move_redo_10,84.211,0,,,15929344,10031104,15929344,10031104,
stage,0,file_move_undo_10,82.667,0,,,15933440,10043392,15933440,10043392,
stage,0,file_move_redo_again_10,83.539,0,,,15933440,10043392,15933440,10043392,
stage,0,file_move_final_undo_10,82.91,0,,,15933440,10043392,15933440,10043392,
stage,0,file_copy_redo_10,62.995,0,,,15925248,10022912,15925248,10022912,
stage,0,file_copy_undo_10,64.515,0,,,15925248,10022912,15925248,10022912,
stage,0,file_copy_redo_again_10,69.521,0,,,15925248,10022912,15925248,10022912,
stage,0,file_copy_final_undo_10,61.14,0,,,15925248,10022912,15925248,10022912,
stage,0,file_move_redo_11,89.305,0,,,15978496,10043392,15978496,10043392,
stage,0,file_move_undo_11,88.262,0,,,15978496,10043392,15978496,10043392,
stage,0,file_move_redo_again_11,82.689,0,,,15978496,10043392,15978496,10043392,
stage,0,file_move_final_undo_11,89.192,0,,,15978496,10043392,15978496,10043392,
stage,0,file_copy_redo_11,67.775,0,,,15941632,10039296,15941632,10039296,
stage,0,file_copy_undo_11,71.753,0,,,15941632,10039296,15941632,10039296,
stage,0,file_copy_redo_again_11,78.208,0,,,15945728,10043392,15945728,10043392,
stage,0,file_copy_final_undo_11,72.313,0,,,15945728,10043392,15945728,10043392,
stage,0,file_move_redo_12,101.605,0,,,15933440,9781248,15933440,9781248,
stage,0,file_move_undo_12,95.237,0,,,15937536,9789440,15937536,9789440,
stage,0,file_move_redo_again_12,90.357,0,,,15937536,9789440,15937536,9789440,
stage,0,file_move_final_undo_12,93.682,0,,,15937536,9789440,15937536,9789440,
stage,0,file_copy_redo_12,69.254,0,,,15945728,10043392,15945728,10043392,
stage,0,file_copy_undo_12,59.675,0,,,15945728,10043392,15945728,10043392,
stage,0,file_copy_redo_again_12,59.492,0,,,15949824,10043392,15949824,10043392,
stage,0,file_copy_final_undo_12,61.102,0,,,15949824,10043392,15949824,10043392,
cycle,1,move_redo,101.982,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15732736,9904128,15761408,9904128,1
cycle,1,copy_redo,68.669,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15732736,9904128,15761408,9904128,1
cycle,2,move_redo,91.089,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15781888,9916416,15781888,9916416,1
cycle,2,copy_redo,68.925,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15781888,9916416,15781888,9916416,1
cycle,3,move_redo,89.648,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15826944,9924608,15826944,9924608,1
cycle,3,copy_redo,73.894,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15826944,9924608,15826944,9924608,1
cycle,4,move_redo,85.768,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15880192,9994240,15880192,9994240,1
cycle,4,copy_redo,79.579,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15880192,9994240,15880192,9994240,1
cycle,5,move_redo,94.814,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15876096,9994240,15880192,9994240,1
cycle,5,copy_redo,69.69,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15876096,9994240,15880192,9994240,1
cycle,6,move_redo,91.688,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15876096,9994240,15912960,9994240,1
cycle,6,copy_redo,72.611,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15876096,9994240,15912960,9994240,1
cycle,7,move_redo,97.211,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15867904,9994240,15867904,9994240,1
cycle,7,copy_redo,66.292,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15867904,9994240,15867904,9994240,1
cycle,8,move_redo,101.369,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15933440,10018816,15933440,10018816,1
cycle,8,copy_redo,85.777,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15933440,10018816,15933440,10018816,1
cycle,9,move_redo,107.511,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15966208,10035200,15966208,10035200,1
cycle,9,copy_redo,70.282,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15966208,10035200,15966208,10035200,1
cycle,10,move_redo,84.211,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15925248,10022912,15933440,10043392,1
cycle,10,copy_redo,62.995,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15925248,10022912,15933440,10043392,1
cycle,11,move_redo,89.305,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15949824,10043392,15978496,10043392,1
cycle,11,copy_redo,67.775,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15949824,10043392,15978496,10043392,1
cycle,12,move_redo,101.605,,,b5cb9af1-4a96-4880-88c8-171d56c2acb7,15949824,10043392,15949824,10043392,1
