kind,index,name,duration_ms,from_cache,source_hash,source_id,working_set_bytes,private_bytes,peak_working_set_bytes,peak_private_bytes,restored
stage,0,initial_import,87.428,0,cd44f7f822ce27933d3368d29c5c566289724418ac7c00e5083b5cdbcaaa7815,,14954496,9367552,14954496,9367552,
stage,0,cooked_cold_load,77.513,0,cd44f7f822ce27933d3368d29c5c566289724418ac7c00e5083b5cdbcaaa7815,,20590592,15011840,20590592,15011840,
stage,0,cooked_warm_load,24.337,1,cd44f7f822ce27933d3368d29c5c566289724418ac7c00e5083b5cdbcaaa7815,,26300416,20746240,26300416,20746240,
stage,0,material_document_asset_load_unload,235.014,1,cd44f7f822ce27933d3368d29c5c566289724418ac7c00e5083b5cdbcaaa7815,,26898432,21700608,26898432,21700608,
stage,0,file_move_redo_1,94.268,0,,,15826944,9711616,15826944,9711616,
stage,0,file_move_undo_1,86.879,0,,,15831040,9711616,15831040,9711616,
stage,0,file_move_redo_again_1,92.652,0,,,15835136,9715712,15835136,9715712,
stage,0,file_move_final_undo_1,91.503,0,,,15843328,9744384,15843328,9744384,
stage,0,file_copy_redo_1,73.827,0,,,15855616,9781248,15855616,9781248,
stage,0,file_copy_undo_1,76.231,0,,,15859712,9797632,15859712,9797632,
stage,0,file_copy_redo_again_1,72.093,0,,,15859712,9797632,15859712,9797632,
stage,0,file_copy_final_undo_1,66.519,0,,,15872000,9797632,15872000,9797632,
stage,0,file_move_redo_2,109.277,0,,,15896576,9789440,15896576,9789440,
stage,0,file_move_undo_2,91.952,0,,,15921152,9805824,15921152,9805824,
stage,0,file_move_redo_again_2,97.478,0,,,15921152,9805824,15921152,9805824,
stage,0,file_move_final_undo_2,94.147,0,,,15921152,9805824,15921152,9805824,
stage,0,file_copy_redo_2,63.822,0,,,15941632,9830400,15941632,9830400,
stage,0,file_copy_undo_2,58.806,0,,,15953920,9850880,15953920,9850880,
stage,0,file_copy_redo_again_2,74.36,0,,,15953920,9850880,15953920,9850880,
stage,0,file_copy_final_undo_2,62.974,0,,,15953920,9850880,15953920,9850880,
stage,0,file_move_redo_3,98.53,0,,,15966208,9891840,15966208,9891840,
stage,0,file_move_undo_3,97.837,0,,,15974400,9891840,15974400,9891840,
stage,0,file_move_redo_again_3,96.242,0,,,15974400,9891840,15974400,9891840,
stage,0,file_move_final_undo_3,94.139,0,,,15974400,9891840,15974400,9891840,
stage,0,file_copy_redo_3,63.543,0,,,15966208,9854976,16003072,9891840,
