frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
131,14.506,0.001,0,0.354,14.133,0,0,,1,0,266350592,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,14.25,0.001,0,0.465,13.78,0,0,,1,15.625,266350592,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,38.61,26.93,0,0.522,11.147,0,0,,1,15.625,266350592,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,1.998,0.001,0,0.449,1.545,0,0,,1,15.625,266350592,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,10.696,9.722,0,0.473,0.494,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,31.751,22.828,0,0.47,8.445,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,15.374,0.001,0,0.285,15.084,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,14.541,0,0,0.373,14.162,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,10.605,2.752,0,0.935,6.911,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,9.843,0.001,0,0.301,9.537,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,12.757,0,0,0.293,12.46,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,9.756,0.003,0,0.822,8.926,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,8.273,0.001,0,0.297,7.971,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,5.805,0.001,0,0.327,5.474,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,9.547,0,0,0.181,9.363,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,7.786,0.002,0,0.356,7.427,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,9.34,0.001,0,0.309,9.026,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,14.611,0.001,0,0.303,14.304,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,9.558,0.001,0,0.316,9.238,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,10.297,0.001,0,0.327,9.967,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,5.17,0.001,0,0.327,4.84,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,10.025,0.001,0,0.27,9.752,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,15.265,0.001,0,0.342,14.919,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,16.285,0.001,0,0.34,15.942,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,9.057,0.001,0,0.33,8.722,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,9.329,0,0,0.3,9.025,0,0,,1,15.625,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,15.366,0.001,0,0.362,14.999,0,0,,1,31.25,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,8.74,0.001,0,0.37,8.364,0,0,,1,31.25,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,9.602,0.001,0,0.317,9.279,0,0,,1,31.25,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,13.291,0.002,0,0.606,12.673,0,0,,1,46.875,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,9.6,0.001,0,0.323,9.271,0,0,,1,46.875,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,9.828,0.001,0,0.326,9.498,0,0,,1,46.875,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,13.74,0.001,0,0.357,13.378,0,0,,1,46.875,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,9.793,0.001,0,0.34,9.449,0,0,,1,46.875,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,9.837,0,0,0.307,9.526,0,0,,1,46.875,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,14.344,0.001,0,0.422,13.918,0,0,,1,46.875,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,8.621,0.002,0,0.346,8.27,0,0,,1,46.875,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,9.476,0.001,0,0.267,9.205,0,0,,1,46.875,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,14.316,0.001,0,0.361,13.952,0,0,,1,46.875,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,9.225,0.001,0,0.346,8.875,0,0,,1,46.875,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,10.066,0.001,0,0.306,9.756,0,0,,1,46.875,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,21.267,0.003,0,0.579,20.674,0,0,,1,46.875,266354688,219455488,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
