frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
39,66.494,65.779,0,0.479,0.209,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,35.036,34.288,0,0.54,0.199,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1.691,1.386,0,0.198,0.102,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,68.595,68.098,0,0.324,0.167,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,7.627,7.079,0,0.373,0.166,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,26.586,26.056,0,0.367,0.155,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,10.766,10.143,0,0.453,0.162,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,96.328,95.808,0,0.33,0.181,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,83.897,83.319,0,0.385,0.184,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,134.326,133.655,0,0.47,0.191,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,59.908,59.24,0,0.425,0.235,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,54.122,53.315,0,0.433,0.363,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,78.636,77.945,0,0.448,0.233,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,79.947,79.215,0,0.476,0.247,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,81.182,80.164,0,0.812,0.196,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,44.474,43.884,0,0.381,0.199,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,86.862,86.159,0,0.471,0.221,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,13.488,12.513,0,0.66,0.304,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,75.597,74.884,0,0.481,0.222,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,70.538,69.405,0,0.418,0.707,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,107.35,106.748,0,0.35,0.243,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,72.551,71.781,0,0.598,0.164,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,258.654,258.095,0,0.359,0.193,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,116.988,116.293,0,0.486,0.2,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,62.088,61.433,0,0.459,0.186,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,163.147,162.276,0,0.58,0.278,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,47.554,46.718,0,0.611,0.215,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,36.954,35.907,0,0.803,0.235,0,0,,1,0,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2.208,1.486,0,0.548,0.167,0,0,,1,15.625,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,128.698,128.116,0,0.383,0.19,0,0,,1,15.625,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,5.964,5.337,0,0.469,0.149,0,0,,1,15.625,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,55.86,55.15,0,0.417,0.285,0,0,,1,15.625,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0.816,0.396,0,0.309,0.107,0,0,,1,15.625,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2.411,1.692,0,0.602,0.116,0,0,,1,15.625,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,9.919,4.09,0,0.543,5.279,0,0,,1,15.625,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,3.717,0.001,0,0.355,3.358,0,0,,1,15.625,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,15.683,14.366,0,1.14,0.167,0,0,,1,15.625,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,41.988,39.241,0,0.446,2.293,0,0,,1,31.25,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,5.406,0.001,0,0.352,5.047,0,0,,1,31.25,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,6.043,0,0,0.328,5.711,0,0,,1,31.25,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,9.005,0.001,0,0.314,8.686,0,0,,1,31.25,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,4.36,0,0,0.282,4.074,0,0,,1,31.25,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,15.312,1.526,0,0.306,13.473,0,0,,1,31.25,266600448,219693056,1,28312000,28312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
