frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
0,28.076,0.002,0.001,0.58,0.078,0,0,,1,15.625,240160768,302202880,1,73499584,73499584,167755776,38823561584,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,15.022,9.049,0.257
1,23.731,0.002,0.001,0.584,0.242,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,14.517,2.334,0.427
2,22.417,0.002,0.001,0.519,0.105,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,10.945,5.851,0.136
3,11.526,0.002,0.001,0.542,0.417,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,5.127,1.9,0.137
4,44.391,0.005,0.001,1.695,0.963,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,29.077,5.441,1.609
5,16.678,0.002,0,0.554,0.801,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,10.519,1.864,0.149
6,14.181,0.002,0,0.477,0.161,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.662,3.605,0.136
7,29.75,0.002,0.001,0.502,0.155,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,18.757,6.678,0.178
8,22.112,0.002,0.001,0.614,0.109,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,11.594,5.687,0.195
9,21.203,0.001,0.001,0.878,0.78,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,12.482,2.924,1.621
10,24.41,0.003,0.001,0.591,1.169,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,11.795,4.872,0.176
11,18.65,0.002,0.001,0.589,1.019,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,11.176,3.464,0.164
12,18.028,0.003,0.001,0.702,1.797,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,8.814,4.532,0.172
13,15.892,0.004,0.001,0.553,0.103,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,9.242,3.646,0.209
14,18.4,0.001,0.001,1.653,0.098,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,8.817,3.791,0.186
15,25.337,0.002,0.001,0.637,0.493,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,14.708,5.606,0.166
16,13.113,0.002,0.001,0.529,0.144,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.729,2.515,0.169
17,14.874,0.003,0.001,0.7,0.118,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.539,4.379,0.169
18,20.118,0.002,0.001,0.542,0.098,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,12.81,3.929,0.167
19,21.418,0.001,0,0.53,0.109,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,13.516,4.392,0.19
20,16.741,0.001,0,0.575,0.106,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,9.468,2.546,1.575
21,19.865,0.002,0.001,0.579,0.121,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,8.775,7.852,0.694
22,21.41,0.002,0.001,0.538,0.181,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,11.883,4.008,0.753
23,15.165,0.002,0.001,0.497,0.096,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.305,2.531,2.273
24,23.585,0.002,0,0.577,3.255,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.538,7.667,0.165
25,20.186,0.002,0.001,0.562,1.035,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,12.163,2.771,0.298
26,29.535,0.002,0.001,1.741,0.101,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,20.566,3.581,0.165
27,19.015,0.002,0,0.535,0.346,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,12.629,3.362,0.17
28,24.647,0.002,0.001,0.574,0.139,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,10.915,8.534,0.167
29,19.831,0.001,0.001,0.879,0.431,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.567,5.337,0.175
30,21.496,0.002,0.001,0.764,0.095,0,0,,1,375,240181248,302211072,1,73499584,73499584,167755776,38823561584,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,12.439,4.935,0.169
31,16.92,0.002,0,0.559,0.086,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,9.147,4.671,0.144
32,10.545,0.001,0.001,0.489,0.076,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.469,2.346,0.157
33,19.998,0.001,0.001,0.49,1.065,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,12.058,4.352,0.172
34,14.438,0.002,0.001,0.55,0.074,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.741,2.708,0.133
35,12.211,0.001,0,0.518,0.171,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,5.76,3.604,0.167
36,18.627,0.002,0.001,1.118,0.097,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,8.85,4.378,0.427
37,16.224,0.002,0.001,0.893,0.122,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.478,4.492,0.218
38,15.172,0.002,0.001,0.592,0.082,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,8.824,3.087,0.358
39,11.55,0.001,0.001,0.563,0.106,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.428,2.562,0.158
40,13.731,0.002,0,0.522,0.69,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.814,2.786,0.159
41,11.996,0.002,0.001,0.523,0.105,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.007,2.435,0.157
42,12.436,0.003,0.001,0.542,0.095,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.122,2.754,0.168
43,12.422,0.002,0.001,0.549,0.1,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.635,3.191,0.166
44,13.318,0.002,0,0.567,0.178,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.576,2.844,0.168
45,12.901,0.002,0,0.944,0.23,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.11,2.639,0.157
46,13.002,0.002,0.001,0.529,0.204,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.912,3.373,0.164
47,15.59,0.002,0.001,0.763,0.103,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.284,4.891,0.177
48,8.671,0.002,0.001,0.51,0.071,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,4.214,2.712,0.168
49,13.072,0.001,0.001,0.516,0.098,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.97,3.056,0.17
50,17.824,0.002,0.001,3.241,0.241,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,8.191,4.126,0.205
51,20.401,0.002,0.001,0.575,0.107,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,13.259,4.358,0.205
52,20.866,0.002,0.001,0.919,0.127,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,12.153,4.181,0.162
53,14.802,0.002,0.001,0.724,0.093,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,8.313,3.516,0.16
54,18.714,0.001,0.001,0.587,0.102,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,10.563,4.991,0.25
55,17.81,0.002,0.001,1.327,0.666,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,8.985,4.764,0.164
56,21.775,0.002,0.001,0.796,0.116,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,12.745,5.417,0.192
57,22.826,0.002,0.001,0.601,0.109,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,10.953,4.328,0.192
58,17.103,0.002,0.001,0.625,0.397,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,9.116,4.218,0.19
59,24.074,0.003,0.001,0.732,0.421,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,13.363,5.759,0.329
60,20.649,0.002,0.001,0.633,0.15,0,0,,1,671.875,240185344,302211072,1,73499584,73499584,167755776,38823561584,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,13.09,3.458,0.982
61,22.954,0.003,0,1.192,0.118,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,14.446,4.012,0.19
62,18.972,0.001,0,1.246,0.108,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,10.793,4.12,0.194
63,19.804,0.003,0.001,1.939,0.118,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,9.453,5.86,0.191
64,18.949,0.002,0.001,0.796,0.108,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,9.476,6.203,0.192
65,26.403,0.002,0.001,1.771,0.785,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,16.188,4.107,0.589
66,22.867,0.002,0.001,0.857,0.111,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,15.077,3.472,0.201
67,16.493,0.002,0.001,0.963,0.114,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,8.925,3.574,0.191
68,17.375,0.002,0.001,0.937,0.104,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,10.042,3.955,0.194
69,18.934,0.001,0,0.921,0.471,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,10.418,3.06,0.827
70,15.704,0.002,0.001,0.561,0.103,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,9.728,2.867,0.214
71,13.82,0.002,0.001,0.67,0.66,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.101,3.092,0.174
72,15.9,0.003,0,0.639,0.116,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,8.52,3.987,0.208
73,17.786,0.002,0.001,2.142,0.093,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,9.464,3.863,0.324
74,64.483,0.002,0,0.54,2.891,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,38.107,3.13,0.17
75,20.137,0.003,0.001,0.584,0.103,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,8.177,9.031,0.185
76,17.056,0.004,0.001,0.576,0.723,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,9.348,2.939,0.164
77,16.82,0.002,0,0.736,0.101,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,10.676,2.579,0.814
78,12.639,0.001,0.001,0.536,0.094,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.673,3.119,0.199
79,17.799,0.002,0.001,0.784,0.534,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,9.391,2.676,0.177
80,12.902,0.002,0.001,0.537,0.099,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.444,3.562,0.166
81,13.204,0.002,0.001,0.824,0.09,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.689,2.482,0.163
82,17.485,0.002,0.001,0.576,1.252,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,10.62,2.973,0.161
83,13.525,0.002,0,1.02,0.095,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.558,2.714,0.173
84,14.059,0.002,0,0.531,0.105,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,8.557,2.918,0.165
85,18.768,0.001,0,0.931,0.096,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,10.004,4.304,0.192
86,19.745,0.002,0.001,1.067,0.098,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,12.48,3.436,0.163
87,23.616,0.001,0,5.856,0.157,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,9.674,3.863,0.173
88,8.92,0.002,0.001,0.609,0.084,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,4.553,1.664,0.149
89,13.391,0.002,0.001,0.493,0.193,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,5.571,1.893,0.148
90,11.407,0.002,0,0.616,0.079,0,0,,1,1109.375,240193536,302211072,1,73499584,73499584,167755776,38823561584,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.504,2.726,0.179
91,14.867,0.002,0,0.539,0.091,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.498,6.083,0.159
92,10.937,0.002,0.001,1.485,0.079,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.124,1.978,0.145
93,13.403,0.001,0,3.292,0.072,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.706,1.776,0.131
94,13.234,0.002,0,0.506,0.595,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,7.811,2.819,0.141
95,17.959,0.001,0.001,0.499,0.093,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,10.539,5.567,0.13
96,15.229,0.001,0.001,0.598,0.079,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,10.069,2.476,0.145
97,11.845,0.002,0.001,0.504,0.074,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,4.116,5.339,0.249
98,10.393,0.002,0.001,0.809,0.079,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,5.981,2.31,0.154
99,12.929,0.002,0,0.896,0.076,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,6.084,2.002,0.152
