"scenario","before_wall_median_ms","after_wall_median_ms","change_percent_wall_median_ms","before_wall_p95_ms","after_wall_p95_ms","change_percent_wall_p95_ms","before_wall_p99_ms","after_wall_p99_ms","change_percent_wall_p99_ms","before_gpu_median_ms","after_gpu_median_ms","change_percent_gpu_median_ms","before_gpu_p95_ms","after_gpu_p95_ms","change_percent_gpu_p95_ms","before_gpu_p99_ms","after_gpu_p99_ms","change_percent_gpu_p99_ms","before_wait_median_ms","after_wait_median_ms","change_percent_wait_median_ms","before_view_median_ms","after_view_median_ms","change_percent_view_median_ms","before_gather_median_ms","after_gather_median_ms","change_percent_gather_median_ms","before_plan_median_ms","after_plan_median_ms","change_percent_plan_median_ms","before_upload_median_ms","after_upload_median_ms","change_percent_upload_median_ms","before_measured_frames_per_second","after_measured_frames_per_second","change_percent_measured_frames_per_second","before_private_peak_bytes","after_private_peak_bytes","change_percent_private_peak_bytes","before_working_set_peak_bytes","after_working_set_peak_bytes","change_percent_working_set_peak_bytes","before_vma_peak_bytes","after_vma_peak_bytes","change_percent_vma_peak_bytes","before_draws_median","after_draws_median","change_percent_draws_median","before_dispatches_median","after_dispatches_median","change_percent_dispatches_median","before_shadow_faces_median","after_shadow_faces_median","change_percent_shadow_faces_median","before_shadow_cache_hits_median","after_shadow_cache_hits_median","change_percent_shadow_cache_hits_median","before_batches_median","after_batches_median","change_percent_batches_median","before_asset_upload_max_bytes","after_asset_upload_max_bytes","change_percent_asset_upload_max_bytes","before_dynamic_upload_median_bytes","after_dynamic_upload_median_bytes","change_percent_dynamic_upload_median_bytes"
"empty","0,929","0,953","2,583423035522059","6,93","9,9733","43,91486291486293","14,7941","17,66435","19,40131538924299","0,372760407566","0,386145823906","3,5908900377597197","1,71437495815","1,83110672613","6,808998663044319","7,0408201406","8,66479926762","23,06519829494762","0,796","0,8045","1,0678391959799027","0,003","0,003","0","0","0,001",,"0,001","0,001","0","0,005","0,005","0","541,1977846758134","401,1782561385173","-25,872154783702626","286298112","286666752","0,12876089102535904","229900288","230084608","0,08017388825540817","62503872","62503872","0","2","2","0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"272","272","0"
"small","6,444","7,3665","14,315642458100575","36,723","25,4177","-30,785338888435042","57,67148","37,21754","-35,46629980711437","5,91421860561","6,79838525069","14,949847207901868","33,831905424","24,683416064","-27,041011274257578","46,5614780299","36,7610293108","-21,048405535594316","5,978","6,971","16,610906657745073","0,011","0,012","9,090909090909104","0,039","0,03","-23,076923076923084","0,117","0,106","-9,401709401709413","0,009","0,01","11,111111111111116","98,30107932599219","100,81330034254606","2,5556393009914746","286810112","286851072","0,014281225900436567","231837696","231923712","0,03710181798908252","75980672","75980672","0","11","11","0","1","1","0","0","0",,"5","5","0","1","1","0","0","0",,"7232","7232","0"
"instances-1000","2,8505","2,445","-14,22557446062095","13,1277","8,72975","-33,50129878044137","26,84559","16,27252","-39,38475555947923","1,94770828578","1,81966141391","-6,574232538047708","9,3840310209","6,35686182397","-32,25872964601167","19,1601406781","13,023827807","-32,026449983813485","0,258","0,232","-10,077519379844958","0,072","0,063","-12,49999999999999","0,5155000000000001","0,405","-21,43549951503395","1,299","1,093","-15,858352578906853","0,016","0,013","-18,75","231,62028171016436","303,12967391565155","30,87354513063314","288538624","288837632","0,10362841405939793","233701376","233697280","-0,0017526640493592538","71217344","71217344","0","11","11","0","1","1","0","0","0",,"2","2","0","1","1","0","0","0",,"133472","133472","0"
"instances-10000-visible","20,12","17,484","-13,101391650099403","50,4398","54,88765","8,81813567857128","59,0736","65,16348","10,308970504590897","6,8089581671","6,28140609665","-7,747911758351867","39,3933271632","46,0005275228","16,772384653440085","56,6088757013","61,1895485061","8,091792582085876","0,001","0,001","0","0,684","0,611","-10,672514619883044","5,531","4,301","-22,238293256192364","10,03","7,7735","-22,49750747756729","0,122","0,118","-3,2786885245901676","41,672856115990115","44,18897114937903","6,037779187454029","308518912","308477952","-0,01327633360771463","245813248","245669888","-0,05832069718227917","73683136","73683136","0","11","11","0","1","1","0","0","0",,"2","2","0","1","1","0","0","0",,"1321472","1321472","0"
"instances-10000-culled","24,4585","16,3285","-33,23997792178589","73,26415","58,45215","-20,217254960304597","116,9883","144,19197","23,253325332533258","13,9154163269","4,81325509082","-65,41062820006715","60,3973839421","41,1233141002","-31,912093842304667","86,1178546683","102,60628812","19,146358807019137","12,8225","0,002","-99,98440241762528","0,592","0,623","5,236486486486491","6,7715","6,1805","-8,727756036328715","2,8605","1,7229999999999999","-39,76577521412341","0,1485","0,147","-1,0101010101010055","30,9772579872311","41,99764813170463","35,5757444671706","302321664","302317568","-0,0013548483247305398","240201728","240246784","0,018757566973048867","73499584","73499584","0","11","11","0","1","1","0","0","0",,"2","2","0","1","1","0","0","0",,"1281872","1281872","0"
"instances-10000-moving","67,562","50,9135","-24,641810485183978","107,643","103,95555","-3,425629163066801","160,40492","169,93636","5,942112000055855","15,878853779","13,8509371618","-12,77117760150892","72,4829930221","77,2718392593","6,606854984230415","133,303423829","159,462981003","19,62406997704513","0,002","0,002","0","4,796","3,5495","-25,990408673894915","15,051","9,3015","-38,200119593382496","35,879","22,786499999999997","-36,49070486914352","0,199","0,1745","-12,311557788944738","14,288804134749293","17,510928909011422","22,549996093977963","308383744","308396032","0,00398464583140079","244035584","243998720","-0,015105993722619449","73789376","73789376","0","32","32","0","1","1","0","9","9","0","0","0",,"1","1","0","0","0",,"1426742","1426806","0,0044857444443380246"
"lights-1","3,818","6,251","63,72446306966999","10,513","14,222","35,28012936364502","28,74064","22,126","-23,01493634101397","3,21656242147","5,10640612533","58,75352181091278","8,49807270919","11,2140101429","31,95945159157001","21,5211994746","18,6230203787","-13,466624382718628","3,2945","5,898","79,0256488086204","0,009","0,009","0","0,039","0,0285","-26,923076923076916","0,059","0,047","-20,338983050847446","0,007","0,009","28,57142857142856","194,4854091969012","140,17723521700077","-27,92403512641798","286900224","286855168","-0,015704414368111763","232108032","232005632","-0,044117387544784226","70948032","70948032","0","11","11","0","1","1","0","0","0",,"2","2","0","1","1","0","0","0",,"6224","6224","0"
"lights-8","11,325","10,049","-11,267108167770424","23,20135","21,653","-6,673534083146038","39,5837","42,14696","6,475544226537688","10,3243487063","8,9688539477","-13,129106708424787","21,1196791719","20,3001765877","-3,880279513385587","35,3880642402","40,1834969356","13,550989008187964","10,8695","9,598","-11,697870187221115","0,01","0,01","0","0,041","0,031","-24,390243902439025","0,1445","0,1465","1,384083044982698","0,009","0,009","0","80,10474991277151","88,85846623498092","10,927836778395283","286867456","286842880","-0,008567022674055291","231931904","231755776","-0,0759395309409383","82693504","82693504","0","11","11","0","1","1","0","0","0",,"9","9","0","1","1","0","0","0",,"8576","8576","0"
"lights-32","18,103","22,264","22,985140584433505","40,4464","46,28275","14,429838007832597","58,861","56,16995","-4,571872717079217","17,2246349961","21,1859630244","22,99803757349239","40,920061501","42,6283192718","4,174621709105342","75,4004648258","55,412964793","-26,508457313861033","17,095","21,2785","24,472067856098278","0,013","0,012","-7,692307692307687","0,042","0,036","-14,285714285714302","0,545","0,487","-10,642201834862398","0,011","0,011","0","46,569459748297064","39,018594749291594","-16,214199262385875","422408192","422354944","-0,01260581612962941","366546944","366600192","0,014526925096935983","135402880","135402880","0","58","58","0","2","2","0","24","24","0","29","29","0","2","2","0","0","0",,"17572","17572","0"
"lights-128","131,563","107,7935","-18,067009721578252","176,50165","200,18515","13,418288157646096","254,31308","216,1816","-14,993912228187401","127,488043762","103,701039135","-18,65822388129712","175,546495714","206,204109549","17,4640990185001","253,606827663","215,466828073","-15,039027119838245","126,8","103,0505","-18,72988958990536","0,017","0,017","0","0,165","0,178","7,878787878787863","3,3855","2,92","-13,749815389159647","0,014499999999999999","0,014","-3,4482758620689613","7,535407989793091","8,131405054520103","7,909287267979459","425836544","425553920","-0,06636912777500115","369643520","369610752","-0,008864757050253136","135518144","135518144","0","1336","1336","0","5","5","0","768","768","0","1","1","0","5","5","0","0","0",,"78420","78420","0"
