"scenario","phase","repeats","timed_frames_min","timed_frames_max","raw_instances","visible_min","visible_max","lights_min","lights_max","wall_median_ms","wall_p95_ms","wall_p99_ms","gpu_median_ms","gpu_p95_ms","gpu_p99_ms","wait_median_ms","view_median_ms","gather_median_ms","plan_median_ms","upload_median_ms","measured_frames_per_second","private_peak_bytes","working_set_peak_bytes","vma_peak_bytes","draws_median","dispatches_median","shadow_faces_median","shadow_cache_hits_median","batches_median","asset_upload_max_bytes","dynamic_upload_median_bytes","wall_run_median_min_ms","wall_run_median_max_ms"
"empty","baseline","3","2302","4397","0","0","0","0","0","0,929","6,93","14,7941","0,372760407566","1,71437495815","7,0408201406","0,796","0,003","0","0,001","0,005","541,1977846758134","286298112","229900288","62503872","2","0","0","0","0","0","272","0,828","0,9385"
"empty","candidate","3","1878","3585","0","0","0","0","0","0,953","9,9733","17,66435","0,386145823906","1,83110672613","8,66479926762","0,8045","0,003","0,001","0,001","0,005","401,1782561385173","286666752","230084608","62503872","2","0","0","0","0","0","272","0,885","0,984"
"small","baseline","3","305","646","40","40","40","5","5","6,444","36,723","57,67148","5,91421860561","33,831905424","46,5614780299","5,978","0,011","0,039","0,117","0,009","98,30107932599219","286810112","231837696","75980672","11","1","0","5","1","0","7232","5,7365","10,256"
"small","candidate","3","487","586","40","40","40","5","5","7,3665","25,4177","37,21754","6,79838525069","24,683416064","36,7610293108","6,971","0,012","0,03","0,106","0,01","100,81330034254606","286851072","231923712","75980672","11","1","0","5","1","0","7232","7,236","8,217"
"instances-1000","baseline","3","1012","1666","1004","1004","1004","2","2","2,8505","13,1277","26,84559","1,94770828578","9,3840310209","19,1601406781","0,258","0,072","0,5155000000000001","1,299","0,016","231,62028171016436","288538624","233701376","71217344","11","1","0","2","1","0","133472","2,539","2,8975"
"instances-1000","candidate","3","1510","1622","1004","1004","1004","2","2","2,445","8,72975","16,27252","1,81966141391","6,35686182397","13,023827807","0,232","0,063","0,405","1,093","0,013","303,12967391565155","288837632","233697280","71217344","11","1","0","2","1","0","133472","2,436","2,603"
"instances-10000-visible","baseline","3","203","353","10004","10004","10004","2","2","20,12","50,4398","59,0736","6,8089581671","39,3933271632","56,6088757013","0,001","0,684","5,531","10,03","0,122","41,672856115990115","308518912","245813248","73683136","11","1","0","2","1","0","1321472","12,829","21,796"
"instances-10000-visible","candidate","3","185","319","10004","10004","10004","2","2","17,484","54,88765","65,16348","6,28140609665","46,0005275228","61,1895485061","0,001","0,611","4,301","7,7735","0,118","44,18897114937903","308477952","245669888","73683136","11","1","0","2","1","0","1321472","13,6","19,914"
"instances-10000-culled","baseline","3","56","222","10004","104","104","2","2","24,4585","73,26415","116,9883","13,9154163269","60,3973839421","86,1178546683","12,8225","0,592","6,7715","2,8605","0,1485","30,9772579872311","302321664","240201728","73499584","11","1","0","2","1","0","1281872","16,5855","52,193"
"instances-10000-culled","candidate","3","49","302","10004","104","104","2","2","16,3285","58,45215","144,19197","4,81325509082","41,1233141002","102,60628812","0,002","0,623","6,1805","1,7229999999999999","0,147","41,99764813170463","302317568","240246784","73499584","11","1","0","2","1","0","1281872","13,7555","79,496"
"instances-10000-moving","baseline","3","57","84","10004","10004","10004","2","2","67,562","107,643","160,40492","15,878853779","72,4829930221","133,303423829","0,002","4,796","15,051","35,879","0,199","14,288804134749293","308383744","244035584","73789376","32","1","9","0","1","0","1426742","52,165","82,081"
"instances-10000-moving","candidate","3","70","99","10004","10004","10004","2","2","50,9135","103,95555","169,93636","13,8509371618","77,2718392593","159,462981003","0,002","3,5495","9,3015","22,786499999999997","0,1745","17,510928909011422","308396032","243998720","73789376","32","1","9","0","1","0","1426806","38,837","62,3175"
"lights-1","baseline","3","473","1180","40","40","40","2","2","3,818","10,513","28,74064","3,21656242147","8,49807270919","21,5211994746","3,2945","0,009","0,039","0,059","0,007","194,4854091969012","286900224","232108032","70948032","11","1","0","2","1","0","6224","3,6165","4,584"
"lights-1","candidate","3","592","1246","40","40","40","2","2","6,251","14,222","22,126","5,10640612533","11,2140101429","18,6230203787","5,898","0,009","0,0285","0,047","0,009","140,17723521700077","286855168","232005632","70948032","11","1","0","2","1","0","6224","3,39","6,418"
"lights-8","baseline","3","398","475","40","40","40","9","9","11,325","23,20135","39,5837","10,3243487063","21,1196791719","35,3880642402","10,8695","0,01","0,041","0,1445","0,009","80,10474991277151","286867456","231931904","82693504","11","1","0","9","1","0","8576","8,153","11,5345"
"lights-8","candidate","3","224","520","40","40","40","9","9","10,049","21,653","42,14696","8,9688539477","20,3001765877","40,1834969356","9,598","0,01","0,031","0,1465","0,009","88,85846623498092","286842880","231755776","82693504","11","1","0","9","1","0","8576","7,9165","13,468"
"lights-32","baseline","3","110","271","40","40","40","33","33","18,103","40,4464","58,861","17,2246349961","40,920061501","75,4004648258","17,095","0,013","0,042","0,545","0,011","46,569459748297064","422408192","366546944","135402880","58","2","24","29","2","0","17572","18,063","38,874"
"lights-32","candidate","3","133","232","40","40","40","33","33","22,264","46,28275","56,16995","21,1859630244","42,6283192718","55,412964793","21,2785","0,012","0,036","0,487","0,011","39,018594749291594","422354944","366600192","135402880","58","2","24","29","2","0","17572","19,555","34,708"
"lights-128","baseline","3","36","43","40","40","40","129","129","131,563","176,50165","254,31308","127,488043762","175,546495714","253,606827663","126,8","0,017","0,165","3,3855","0,014499999999999999","7,535407989793091","425836544","369643520","135518144","1336","5","768","1","5","0","78420","117,925","131,6205"
"lights-128","candidate","3","41","46","40","40","40","129","129","107,7935","200,18515","216,1816","103,701039135","206,204109549","215,466828073","103,0505","0,017","0,178","2,92","0,014","8,131405054520103","425553920","369610752","135518144","1336","5","768","1","5","0","78420","102,976","114,205"
"moving-lights-32","baseline","3","96","165","40","40","40","33","33","30,8735","56,25845","76,99899","29,5448430287","52,2978190357","73,890923196","28,846","0,024","0,062","0,904","0,011","29,479570060389296","422723584","366919680","135409664","345","2","192","1","2","0","24052","27,725","42,7375"
"moving-lights-32","candidate","3","148","174","40","40","40","33","33","29,887","47,0882","55,13948","28,6755982582","45,6936160719","53,1046914118","28,1145","0,0225","0,052","0,825","0,011","31,385118646673682","422658048","366800896","135409664","345","2","192","1","2","0","24052","27,0315","30,8015"
"moving-casters","baseline","3","372","566","40","40","40","5","5","8,634","21,6997","46,0593","8,09156230245","20,451364084","48,7074175609","7,833","0,018","0,039","0,1855","0,01","96,59149994800458","286797824","230326272","75982016","64","1","27","0","1","0","8588","7,823","9,006"
