"scenario","phase","repeat","source_hash","build_id","content_hash","shader_hash","timed_frames","actual_duration_ms","measured_frames_per_second","wall_median_ms","wall_p95_ms","wall_p99_ms","gpu_median_ms","gpu_p95_ms","gpu_p99_ms","wait_median_ms","view_median_ms","gather_median_ms","plan_median_ms","upload_median_ms","raw_instances","visible_min","visible_max","lights_min","lights_max","draws_median","dispatches_median","shadow_faces_median","shadow_cache_hits_median","batches_median","asset_upload_max_bytes","dynamic_upload_median_bytes","private_peak_bytes","working_set_peak_bytes","vma_peak_bytes","vma_budget_peak_bytes"
"empty","baseline","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","4397","5000,868","879,2473626578425","0,828","2,657","8,71812","0,35213540807","1,18874997098","2,92137284534","0,723","0,002","0","0,001","0,004","0","0","0","0","0","2","0","0","0","0","0","272","286490624","230518784","62503872","38823561584"
"empty","candidate","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","3585","5000,371","716,946802547251","0,885","3,7402","9,87916","0,357968741261","1,45479163115","3,65830407735","0,764","0,002","0,001","0,001","0,004","0","0","0","0","0","2","0","0","0","0","0","272","286523392","230338560","62503872","38823561584"
"empty","candidate","2","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","2006","5000,271","401,1782561385173","0,984","10,6545","17,66435","0,39104165712","1,83110672613","8,66479926762","0,838","0,003","0,001","0,001","0,005","0","0","0","0","0","2","0","0","0","0","0","272","286683136","229965824","62503872","38823561584"
"empty","baseline","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","2716","5018,498","541,1977846758134","0,9385","6,93","14,7941","0,38624999057","1,71437495815","7,0408201406","0,817","0,003","0","0,001","0,005","0","0","0","0","0","2","0","0","0","0","0","272","286298112","229900288","62503872","38823561584"
"empty","baseline","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","2302","5014,496","459,0690669610665","0,929","7,93475","23,79732","0,372760407566","1,78339839396","13,8887559109","0,796","0,003","0","0,001","0,005","0","0","0","0","0","2","0","0","0","0","0","272","284856320","228990976","62503872","38823561584"
"empty","candidate","3","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","1878","5010,933","374,78050494788096","0,953","9,9733","21,04186","0,386145823906","2,24704682014","11,0984705624","0,8045","0,003","0,001","0,001","0,005","0","0","0","0","0","2","0","0","0","0","0","272","286666752","230084608","62503872","38823561584"
"small","baseline","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","8a43b8739363807813b9d2caa9cf4a2267ad53c74d08fe898b2571b00c540d78","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","305","5021,04","60,74438761690805","10,256","47,7524","73,17452","9,68546851354","45,9782176275","66,0361900545","9,849","0,013","0,04","0,117","0,011","40","40","40","5","5","11","1","0","5","1","0","7232","286810112","230199296","75980672","38823561584"
"small","candidate","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","8a43b8739363807813b9d2caa9cf4a2267ad53c74d08fe898b2571b00c540d78","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","586","5004,262","117,10018380332605","7,3665","17,80925","30,97695","6,79838525069","16,9598563568","30,643517481","6,971","0,011","0,03","0,106","0,01","40","40","40","5","5","11","1","0","5","1","0","7232","286851072","231923712","75980672","38823561584"
"small","candidate","2","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","307e99ae6e95222c058d44a4d5c8ad45750fbe160a9f078663423ead572f5413","8a43b8739363807813b9d2caa9cf4a2267ad53c74d08fe898b2571b00c540d78","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","487","5051,672","96,40372534083765","8,217","25,4177","37,21754","7,77317689356","24,683416064","36,7610293108","7,775","0,012","0,031","0,105","0,011","40","40","40","5","5","11","1","0","5","1","0","7232","286937088","230256640","75980672","38823561584"
"small","baseline","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","8a43b8739363807813b9d2caa9cf4a2267ad53c74d08fe898b2571b00c540d78","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","646","5011,397","128,90617127319987","5,7365","16,422","42,24025","5,30523424548","14,9747782802","38,0907516742","5,2965","0,01","0,037","0,104","0,009","40","40","40","5","5","11","1","0","5","1","0","7232","286560256","231837696","75980672","38823561584"
