frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
0,23.221,0,0.21,1.235,0.063,0,0,,1,15.625,245547008,308318208,1,73789376,73789376,167755776,38823561584,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426696,3.366,16.679,0.133
1,30.803,0.001,0.283,2.743,0.108,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426712,6.468,17.261,0.183
2,27.826,0.001,0.317,2.201,0.057,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426704,6.766,16.004,0.12
3,36.086,8.667,0.344,3.451,0.07,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426668,6.122,14.168,0.124
4,27.963,0.001,0.234,2.29,0.081,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426704,7.204,15.086,0.128
5,25.658,0.001,0.316,2.309,0.058,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426756,6.406,12.908,0.13
6,29.014,0.001,0.275,2.156,0.07,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426812,6.581,17.116,0.132
7,30.299,2.274,0.524,2.88,0.059,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426796,6.972,14.045,0.1
8,22.199,0.001,0.227,1.639,0.075,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426840,5.141,12.442,0.115
9,25.781,0.002,0.237,1.659,0.062,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426848,6.42,15.068,0.12
10,20.034,0.001,0.276,2.078,0.093,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426900,3.528,12.048,0.13
11,24.066,0.001,0.285,2.335,0.066,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426908,5.902,12.025,0.469
12,27.269,0.001,0.357,3.246,0.06,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426932,8.165,11.978,0.195
13,62.801,33.46,0.31,2.671,0.082,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426944,6.906,15.815,0.129
14,26.753,0.001,0.229,3.139,0.06,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426960,5.571,13.956,0.106
15,22.024,0.001,0.244,3.195,0.106,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427000,5.34,10.541,0.099
16,23.51,0.001,1.149,1.851,0.066,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427036,4.683,13.483,0.133
17,28.16,0.001,0.287,2.081,0.101,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427040,5.578,17.266,0.19
18,54.409,24.496,0.326,2.218,0.084,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427048,6.857,17.64,0.123
19,24.272,8.098,0.251,2.503,0.053,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427092,3.53,7.573,0.127
20,13.046,0.001,0.239,1.62,0.04,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427112,2.859,6.813,0.098
21,15.672,0.001,0.196,1.44,0.044,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427124,4.026,7.301,0.119
22,30.398,0,0.22,1.141,0.053,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427116,12.926,13.68,0.135
23,33.723,0.001,0.241,2.861,0.087,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427148,8.367,16.283,0.145
24,26.151,0.001,0.267,2.781,0.065,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427176,5.404,14.218,0.213
25,24.851,0.001,0.389,1.912,0.099,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427184,5.393,14.353,0.132
26,26.763,0.001,0.285,2.659,0.077,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427196,7.076,13.713,0.181
27,28.366,0.002,0.256,2.036,0.095,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427216,5.939,16.677,0.188
28,20.635,0.001,0.381,2.718,0.082,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427228,3.414,12.331,0.11
29,21.418,0,0.205,1.652,0.047,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427228,4.486,12.705,0.111
30,23.079,0.001,0.234,1.633,0.065,0,0,,1,750,245563392,308322304,1,73789376,73789376,167755776,38823561584,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427224,4.301,14.269,0.161
31,18.926,0.001,0.696,2.398,0.068,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427224,4.063,9.242,0.122
32,15.329,0.001,0.273,1.78,0.087,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427236,3.622,7.444,0.182
33,17.453,0.002,0.282,2.979,0.049,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427232,3.502,8.586,0.138
34,35.841,2.68,0.324,1.425,0.088,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427232,9.267,19.013,0.155
35,21.989,0.001,0.257,1.727,0.087,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427232,4.645,13.127,0.122
36,36.815,8.008,0.269,2.602,0.084,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427236,6.251,16.573,0.126
37,28.759,0.001,0.238,2.258,0.069,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427236,6.39,16.567,0.11
38,28.119,0.001,0.226,2.145,0.091,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427236,6.438,15.051,0.154
39,28.067,0.002,0.28,2.66,0.064,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427232,4.838,15.863,0.154
40,36.594,10.399,0.333,2.109,0.754,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427232,6.958,12.783,0.12
41,24.125,0.002,0.362,2.411,0.048,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427236,5.979,12.538,0.104
42,17.148,0.001,0.23,1.453,0.053,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427224,3.569,10.14,0.129
43,25.696,0.001,0.242,2.899,0.243,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427224,6.477,11.077,0.234
44,19.447,0.002,0.327,3.136,0.043,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427232,4.274,9.567,0.108
45,18.986,0,0.286,1.372,0.058,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427224,5.148,10.361,0.101
46,18.56,0.001,0.232,1.612,0.062,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427216,4.564,9.337,0.114
47,21.92,0.001,0.233,1.655,0.07,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427208,4.781,12.635,0.138
48,16.065,0.001,0.269,1.918,0.05,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427208,4.922,6.222,0.105
49,15.745,0.001,0.403,1.39,0.068,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1427184,5.629,6.439,0.085
