"scenario","phase","repeats","timed_frames_min","timed_frames_max","raw_instances","visible_min","visible_max","lights_min","lights_max","wall_median_ms","wall_p95_ms","wall_p99_ms","gpu_median_ms","gpu_p95_ms","gpu_p99_ms","wait_median_ms","view_median_ms","gather_median_ms","plan_median_ms","upload_median_ms","measured_frames_per_second","private_peak_bytes","working_set_peak_bytes","vma_peak_bytes","draws_median","dispatches_median","shadow_faces_median","shadow_cache_hits_median","batches_median","asset_upload_max_bytes","dynamic_upload_median_bytes","wall_run_median_min_ms","wall_run_median_max_ms"
"empty","candidate","3","3987","4231","0","0","0","0","0","0,794","3,4787","5,53588","0,30161457597","1,12319268091","1,73209891605","0,688","0,002","0","0,001","0,004","810,7505442168027","286486528","231997440","62503872","2","0","0","0","0","0","272","0,776","0,798"
"small","candidate","3","283","642","40","40","40","5","5","9,883","40,362","63,953","8,847343534","38,5768219748","60,3702797761","9,31","0,012","0,04","0,114","0,011","63,57508237033258","286801920","230158336","75980672","11","1","0","5","1","0","7232","5,9905","11,782"
"instances-1000","candidate","3","839","1153","1004","1004","1004","2","2","3,183","17,3096","30,24368","1,89796870366","11,3209893069","26,6544097659","0,295","0,073","0,519","1,306","0,018","183,28625255166642","288882688","232017920","71217344","11","1","0","2","1","0","133472","3,03","3,545"
"instances-10000-visible","candidate","3","189","223","10004","10004","10004","2","2","20,41","48,9518","80,34289","5,28109362107","45,5768452415","69,7616389218","0,001","0,705","5,71","10,013","0,1205","38,278649026855064","308445184","243941376","73683136","11","1","0","2","1","0","1321472","19,759","21,9375"
"instances-10000-culled","candidate","3","608","854","10004","104","104","2","2","6,0715","11,76075","18,71342","1,87783849582","7,51509096236","13,0534715563","0,001","0,328","3,1505","1,125","0,116","147,58457892723564","303403008","242593792","73499584","11","1","0","2","1","0","1281872","4,926","6,6015"
"instances-10000-moving","candidate","3","201","245","10004","10004","10004","2","2","20,013","39,9845","71,16235","7,69911439537","34,3456241615","59,2727355321","0,001","1,7815","4,7515","10,7715","0,118","43,107181616543265","308420608","243937280","73789376","32","1","9","0","1","0","1426716","18,154","21,521"
"lights-1","candidate","3","913","1015","40","40","40","2","2","4,212","9,8609","23,3612","3,63515616125","8,68599978794","21,0841453186","3,873","0,009","0,036","0,054","0,008","194,40101207912775","286695424","230305792","70948032","11","1","0","2","1","0","6224","3,925","4,58"
"lights-8","candidate","3","324","433","40","40","40","9","9","9,804","31,3554","45,41736","9,13593727695","30,3006346769","53,7554591043","9,178","0,012","0,041","0,172","0,01","73,1859603403885","286814208","230305792","82693504","11","1","0","9","1","0","8576","8,525","10,029"
"lights-32","candidate","3","145","187","40","40","40","33","33","29,519","50,1517","58,96677","28,7020305493","48,6310326669","58,7156496082","28,492","0,012","0,044","0,526","0,01","31,854812137240884","422449152","366542848","135402880","58","2","24","29","2","0","17572","24,598","29,9135"
"lights-128","candidate","3","38","40","40","40","40","129","129","123,8335","189,2982","212,69138","123,811142811","207,415851707","241,018758178","117,7165","0,017","0,2075","3,933","0,018","7,856913042436366","425447424","367669248","135518144","1336","5","768","1","5","0","78420","120,9145","126,149"
"moving-lights-32","candidate","3","122","142","40","40","40","33","33","31,9995","73,53235","92,11845","31,169217989","73,5208810176","92,0187691076","30,359","0,022","0,06","0,938","0,012","27,442447420867317","422633472","365228032","135409664","345","2","192","1","2","0","24052","31,6945","33,9745"
"moving-casters","candidate","3","266","579","40","40","40","5","5","6,931","26,887","35,26886","5,97523422912","26,397663418","34,090329376","6,3275","0,019","0,04","0,185","0,01","100,6433586765558","286867456","231968768","75982016","64","1","27","0","1","0","8588","6,707","14,383"
"pool-overflow","candidate","3","223","293","40","40","40","9","9","15,168","33,1344","56,2883","14,2203642362","32,4206658751","83,9381885757","14,332","0,012","0,046","0,282","0,01","56,71432382495628","286625792","231661568","86742208","115","8","48","1","8","0","10412","14,325","15,979"
"pool-resident","candidate","3","476","564","40","40","40","9","9","8,4025","18,35375","33,9425","7,10197899328","16,1237365855","30,7699784154","7,935","0,01","0,041","0,1495","0,009","99,11814823318903","286720000","231768064","82693504","11","1","0","9","1","0","8576","8,019","8,9035"
