"scenario","phase","repeat","source_hash","build_id","content_hash","shader_hash","timed_frames","actual_duration_ms","measured_frames_per_second","wall_median_ms","wall_p95_ms","wall_p99_ms","gpu_median_ms","gpu_p95_ms","gpu_p99_ms","wait_median_ms","view_median_ms","gather_median_ms","plan_median_ms","upload_median_ms","raw_instances","visible_min","visible_max","lights_min","lights_max","draws_median","dispatches_median","shadow_faces_median","shadow_cache_hits_median","batches_median","asset_upload_max_bytes","dynamic_upload_median_bytes","private_peak_bytes","working_set_peak_bytes","vma_peak_bytes","vma_budget_peak_bytes"
"empty","candidate","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","3987","5000,504","797,3196301812777","0,798","3,4787","5,53588","0,31197915905","1,12319268091","1,56833746171","0,688","0,002","0","0,001","0,004","0","0","0","0","0","2","0","0","0","0","0","272","286744576","232189952","62503872","38823561584"
"empty","candidate","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","4231","5001,016","846,0280870927028","0,794","2,9985","4,6323","0,30161457597","0,982057267691","1,73209891605","0,688","0,002","0","0,001","0,004","0","0","0","0","0","2","0","0","0","0","0","272","286486528","231997440","62503872","38823561584"
"empty","candidate","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","4054","5000,305","810,7505442168027","0,776","3,5557","7,22628","0,300572909328","1,29184111429","2,55824368754","0,623","0,002","0","0,001","0,004","0","0","0","0","0","2","0","0","0","0","0","272","286380032","230141952","62503872","38823561584"
"small","candidate","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","8a43b8739363807813b9d2caa9cf4a2267ad53c74d08fe898b2571b00c540d78","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","642","5005,386","128,2618363498839","5,9905","17,55965","22,63031","5,16395820726","16,3088485602","21,3615364576","5,543","0,01","0,039","0,1075","0,009","40","40","40","5","5","11","1","0","5","1","0","7232","286814208","230248448","75980672","38823561584"
"small","candidate","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","8a43b8739363807813b9d2caa9cf4a2267ad53c74d08fe898b2571b00c540d78","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","321","5049,148","63,57508237033258","9,883","40,362","63,953","8,847343534","38,5768219748","60,3702797761","9,31","0,012","0,041","0,118","0,011","40","40","40","5","5","11","1","0","5","1","0","7232","286396416","229756928","75980672","38823561584"
"small","candidate","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","8a43b8739363807813b9d2caa9cf4a2267ad53c74d08fe898b2571b00c540d78","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","283","5026,08","56,306306306306304","11,782","51,1547","67,7564","10,9366663997","47,8003790413","65,5100494423","11,264","0,012","0,04","0,114","0,011","40","40","40","5","5","11","1","0","5","1","0","7232","286801920","230158336","75980672","38823561584"
"instances-1000","candidate","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","f77da26c938bdd0ce400a24bb9c65305352d8d83d810a8ff8c28c11f7340220f","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","839","5007,861","167,53659895911647","3,545","18,674","34,08594","2,34994785929","11,3209893069","30,7166961251","0,762","0,075","0,53","1,341","0,019","1004","1004","1004","2","2","11","1","0","2","1","0","133472","287129600","230907904","71217344","38823561584"
"instances-1000","candidate","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","f77da26c938bdd0ce400a24bb9c65305352d8d83d810a8ff8c28c11f7340220f","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","917","5003,103","183,28625255166642","3,183","17,3096","30,24368","1,89796870366","12,2936767832","26,6544097659","0,295","0,073","0,519","1,306","0,018","1004","1004","1004","2","2","11","1","0","2","1","0","133472","288886784","232017920","71217344","38823561584"
"instances-1000","candidate","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","f77da26c938bdd0ce400a24bb9c65305352d8d83d810a8ff8c28c11f7340220f","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","1153","5002,166","230,50014733617397","3,03","11,4684","19,72128","1,51109371311","6,65887483743","14,6151079765","0,106","0,072","0,497","1,25","0,015","1004","1004","1004","2","2","11","1","0","2","1","0","133472","288882688","232128512","71217344","38823561584"
"instances-10000-visible","candidate","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","189","5037,191","37,52091195271333","20,41","62,7514","100,425","5,28109362107","54,4075924217","82,87526256","0,002","0,71","5,71","10,013","0,126","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","308445184","243941376","73683136","38823561584"
