frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
0,4.223,0.001,0,0.291,0.044,0,0,,1,0,240177152,302317568,1,73499584,73499584,167755776,38823561584,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,1.972,1.287,0.091
1,3.792,0.001,0.001,0.294,0.023,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,2.044,0.741,0.048
2,9.823,6.074,0.001,0.371,0.046,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,1.908,0.741,0.074
3,4.956,0.001,0.001,0.253,0.037,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,2.77,1.259,0.084
4,3.578,0,0,0.242,0.028,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,2.019,0.766,0.058
5,3.377,0.001,0,0.233,0.032,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,1.814,0.719,0.078
6,3.273,0.001,0,0.241,0.023,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,1.801,0.676,0.047
7,3.208,0,0,0.194,0.053,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,1.749,0.699,0.053
8,4.208,0.001,0,0.247,0.035,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,2.26,0.922,0.072
9,4.106,0.001,0.001,0.209,0.04,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,2.32,0.984,0.061
10,4.048,0,0,0.253,0.033,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,2.266,0.927,0.064
11,4.493,0.001,0,0.249,0.053,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,2.358,0.824,0.077
12,4.28,0.001,0.001,0.619,0.048,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,2.057,0.764,0.077
13,3.295,0.001,0.001,0.312,0.027,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,1.732,0.666,0.064
14,4.439,0,0,0.226,0.053,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,2.471,1.053,0.096
15,4.085,0.001,0,0.288,0.032,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,2.178,0.991,0.068
16,4.851,0.001,0,0.24,0.044,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,3.065,0.861,0.088
17,3.511,0.001,0,0.291,0.034,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,1.841,0.806,0.078
18,3.479,0.001,0,0.238,0.031,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,1.985,0.634,0.082
19,2.932,0.001,0,0.192,0.02,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,1.663,0.575,0.054
20,5.496,0.712,0.001,0.352,0.051,0,0,,0,,,,0,,,,,10004,104,9900,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1281872,2.723,1.05,0.091
