frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
0,15.622,14.854,0,0.011,0.061,0,0,,1,0,230170624,286842880,1,82693504,82693504,167436288,38823561584,40,40,0,9,3,0,3,3,1,0,1,9,10,11,1,0,9,0,1,0,8576,0.036,0.26,0.014
1,36.961,36.404,0,0.014,0.044,0,0,,0,,,,0,,,,,40,40,0,9,3,0,3,3,1,0,1,9,10,11,1,0,9,0,1,0,8576,0.048,0.225,0.009
2,15.344,14.778,0.001,0.012,0.046,0,0,,0,,,,0,,,,,40,40,0,9,3,0,3,3,1,0,1,9,10,11,1,0,9,0,1,0,8576,0.053,0.209,0.01
3,14.517,13.829,0,0.011,0.057,0,0,,0,,,,0,,,,,40,40,0,9,3,0,3,3,1,0,1,9,10,11,1,0,9,0,1,0,8576,0.035,0.235,0.014
4,23.862,23.267,0,0.013,0.066,0,0,,0,,,,0,,,,,40,40,0,9,3,0,3,3,1,0,1,9,10,11,1,0,9,0,1,0,8576,0.049,0.224,0.009
5,69.579,68.965,0.001,0.039,0.058,0,0,,0,,,,0,,,,,40,40,0,9,3,0,3,3,1,0,1,9,10,11,1,0,9,0,1,0,8576,0.041,0.222,0.011
6,34.266,33.782,0.001,0.01,0.045,0,0,,0,,,,0,,,,,40,40,0,9,3,0,3,3,1,0,1,9,10,11,1,0,9,0,1,0,8576,0.039,0.166,0.01
7,34.524,34.01,0,0.012,0.067,0,0,,0,,,,0,,,,,40,40,0,9,3,0,3,3,1,0,1,9,10,11,1,0,9,0,1,0,8576,0.042,0.157,0.009
8,15.848,15.334,0,0.012,0.049,0,0,,0,,,,0,,,,,40,40,0,9,3,0,3,3,1,0,1,9,10,11,1,0,9,0,1,0,8576,0.042,0.186,0.009
9,37.522,36.981,0,0.012,0.06,0,0,,0,,,,0,,,,,40,40,0,9,3,0,3,3,1,0,1,9,10,11,1,0,9,0,1,0,8576,0.043,0.187,0.011
10,17.344,16.864,0,0.011,0.047,0,0,,0,,,,0,,,,,40,40,0,9,3,0,3,3,1,0,1,9,10,11,1,0,9,0,1,0,8576,0.031,0.154,0.01
11,41.496,40.965,0.001,0.009,0.052,0,0,,0,,,,0,,,,,40,40,0,9,3,0,3,3,1,0,1,9,10,11,1,0,9,0,1,0,8576,0.041,0.215,0.009
12,14.067,13.494,0,0.012,0.048,0,0,,0,,,,0,,,,,40,40,0,9,3,0,3,3,1,0,1,9,10,11,1,0,9,0,1,0,8576,0.053,0.218,0.01
13,15.764,15.256,0,0.012,0.043,0,0,,0,,,,0,,,,,40,40,0,9,3,0,3,3,1,0,1,9,10,11,1,0,9,0,1,0,8576,0.047,0.191,0.01
