frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
0,13.491,0.001,0.001,0.468,0.059,0,0,,1,15.625,244158464,308772864,1,73683136,73683136,167755776,38823561584,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,3.986,7.108,0.116
1,14.191,0.001,0,0.599,0.088,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,3.489,7.551,0.169
2,14.108,0.002,0.001,0.773,0.061,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,4.216,6.795,0.111
3,12.64,0.002,0,0.612,0.043,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,3.653,6.417,0.124
4,38.187,23.231,0,0.619,0.102,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,4.375,7.546,0.153
5,47.403,33.15,0,0.635,0.061,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,4.519,6.976,0.126
6,15.767,1.674,0,0.684,0.06,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,4.226,6.816,0.097
7,31.708,14.872,0.001,0.641,0.066,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,5.16,8.654,0.135
8,28.27,13.016,0.001,0.676,0.07,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,4.081,8.312,0.11
9,13.743,0.001,0,0.622,0.045,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,4.247,6.794,0.108
10,19.658,5.332,0,0.612,0.051,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,4.142,7.514,0.094
11,11.973,0.001,0,0.47,0.055,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,2.914,6.739,0.106
12,11.59,0.001,0,0.547,0.073,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,3.094,6.219,0.095
13,14.027,0.003,0.001,0.76,0.051,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,4.512,6.468,0.124
14,11.477,0.002,0.001,1.078,0.046,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,3.54,5.112,0.078
15,11.198,0.001,0,0.423,0.048,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,3.364,5.775,0.097
16,10.692,0.001,0.001,0.461,0.061,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,2.955,5.62,0.122
17,12.055,0.001,0,0.513,0.058,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,3.287,6.47,0.103
18,11.414,0.001,0,0.487,0.05,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,3.598,5.39,0.092
19,9.102,0.001,0.001,0.472,0.052,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,2.417,4.789,0.105
20,10.885,0.001,0,0.509,0.043,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,3.393,5.162,0.084
21,9.86,0.001,0,0.424,0.041,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,3.353,4.506,0.084
22,9.707,0.001,0,0.497,0.035,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,3.26,4.487,0.061
23,9.39,0.001,0.001,0.323,0.037,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,2.875,4.775,0.087
24,9.077,0.001,0,0.412,0.036,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,2.568,4.696,0.072
25,10.685,0.001,0.001,0.393,0.044,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,2.892,5.845,0.1
26,9.095,0.002,0,0.407,0.034,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,2.539,4.729,0.064
27,10.262,0.001,0.001,0.371,0.043,0,0,,0,,,,0,,,,,10004,10004,0,2,3,0,3,3,1,0,1,9,10,11,1,0,2,0,1,0,1321472,3.063,5.271,0.085
