frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
0,88.169,86.36,0.019,0.025,0.048,0,0,,1,0,365019136,422432768,1,135409600,135409600,301572096,38823561584,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24124,0.118,0.906,0.011
1,81.281,79.494,0.014,0.02,0.061,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24092,0.092,0.871,0.011
2,47.711,45.756,0.016,0.037,0.071,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24060,0.087,0.914,0.02
3,37.397,35.302,0.012,0.019,0.091,0,0,,0,,,,0,,,,,40,40,0,33,3,336,3,6,1,0,1,348,349,350,2,192,1,32,2,0,24072,0.103,0.842,0.012
4,39.995,37.918,0.014,0.023,0.068,0,0,,0,,,,0,,,,,40,40,0,33,3,335,3,6,1,0,1,347,348,349,2,192,1,32,2,0,24064,0.088,1.084,0.012
5,28.6,27.097,0.013,0.017,0.039,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24012,0.063,0.734,0.011
6,52.594,50.945,0.018,0.024,0.041,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24020,0.091,0.821,0.01
7,34.336,32.809,0.009,0.013,0.044,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24040,0.063,0.783,0.01
8,31.509,29.856,0.012,0.03,0.04,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24060,0.061,0.854,0.011
9,49.597,47.172,0.021,0.028,0.058,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24032,0.119,1.264,0.012
10,35.322,33.509,0.013,0.021,0.058,0,0,,0,,,,0,,,,,40,40,0,33,3,330,3,6,1,0,1,342,343,344,2,192,1,32,2,0,23968,0.065,0.966,0.012
11,40.7,39.083,0.02,0.026,0.05,0,0,,0,,,,0,,,,,40,40,0,33,3,330,3,6,1,0,1,342,343,344,2,192,1,32,2,0,23948,0.108,0.77,0.01
12,22.63,20.771,0.013,0.02,0.059,0,0,,0,,,,0,,,,,40,40,0,33,3,329,3,6,1,0,1,341,342,343,2,192,1,32,2,0,24024,0.084,0.945,0.011
13,33.754,32.241,0.017,0.023,0.042,0,0,,0,,,,0,,,,,40,40,0,33,3,329,3,6,1,0,1,341,342,343,2,192,1,32,2,0,24056,0.097,0.716,0.01
14,81.685,79.98,0.015,0.022,0.045,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,24092,0.085,0.805,0.011
15,92.278,90.348,0.016,0.022,0.057,0,0,,0,,,,0,,,,,40,40,0,33,3,326,3,6,1,0,1,338,339,340,2,192,1,32,2,0,24084,0.102,0.963,0.013
16,32.461,30.22,0.02,0.023,0.067,0,0,,0,,,,0,,,,,40,40,0,33,3,327,3,6,1,0,1,339,340,341,2,192,1,32,2,0,24056,0.097,1.058,0.014
17,50.319,48.186,0.018,0.024,0.055,0,0,,0,,,,0,,,,,40,40,0,33,3,327,3,6,1,0,1,339,340,341,2,192,1,32,2,0,24060,0.053,1.089,0.015
18,33.809,31.737,0.024,0.031,0.06,0,0,,0,,,,0,,,,,40,40,0,33,3,329,3,6,1,0,1,341,342,343,2,192,1,32,2,0,24060,0.047,0.923,0.014
19,23.39,21.618,0.016,0.022,0.069,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,23980,0.05,0.829,0.011
20,31.903,29.828,0.019,0.032,0.063,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,23980,0.052,1.025,0.014
21,46.654,44.841,0.011,0.017,0.093,0,0,,0,,,,0,,,,,40,40,0,33,3,327,3,6,1,0,1,339,340,341,2,192,1,32,2,0,23988,0.078,0.683,0.009
22,37.255,35.207,0.021,0.028,0.566,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24060,0.036,0.756,0.011
23,37.614,36.224,0.014,0.02,0.049,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24112,0.052,0.681,0.009
24,41.729,39.355,0.021,0.027,0.077,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24100,0.047,1.145,0.016
25,52.402,50.548,0.016,0.022,0.084,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24020,0.043,0.927,0.013
26,33.034,30.753,0.018,0.024,0.064,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24016,0.155,1.058,0.015
27,35.4,33.589,0.016,0.021,0.067,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24048,0.039,0.907,0.012
28,39.388,37.556,0.028,0.034,0.063,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,23992,0.086,0.835,0.012
29,108.479,106.715,0.017,0.023,0.072,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,23988,0.042,0.896,0.012
30,38.456,36.984,0.013,0.019,0.044,0,0,,1,78.125,365056000,422440960,1,135409600,135409600,301572096,38823561584,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,23956,0.051,0.766,0.01
31,31.483,29.655,0.019,0.027,0.048,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24008,0.084,0.888,0.021
