"scenario","before_wall_median_ms","after_wall_median_ms","change_percent_wall_median_ms","before_wall_p95_ms","after_wall_p95_ms","change_percent_wall_p95_ms","before_wall_p99_ms","after_wall_p99_ms","change_percent_wall_p99_ms","before_gpu_median_ms","after_gpu_median_ms","change_percent_gpu_median_ms","before_gpu_p95_ms","after_gpu_p95_ms","change_percent_gpu_p95_ms","before_gpu_p99_ms","after_gpu_p99_ms","change_percent_gpu_p99_ms","before_wait_median_ms","after_wait_median_ms","change_percent_wait_median_ms","before_view_median_ms","after_view_median_ms","change_percent_view_median_ms","before_gather_median_ms","after_gather_median_ms","change_percent_gather_median_ms","before_plan_median_ms","after_plan_median_ms","change_percent_plan_median_ms","before_upload_median_ms","after_upload_median_ms","change_percent_upload_median_ms","before_measured_frames_per_second","after_measured_frames_per_second","change_percent_measured_frames_per_second","before_private_peak_bytes","after_private_peak_bytes","change_percent_private_peak_bytes","before_working_set_peak_bytes","after_working_set_peak_bytes","change_percent_working_set_peak_bytes","before_vma_peak_bytes","after_vma_peak_bytes","change_percent_vma_peak_bytes","before_draws_median","after_draws_median","change_percent_draws_median","before_dispatches_median","after_dispatches_median","change_percent_dispatches_median","before_shadow_faces_median","after_shadow_faces_median","change_percent_shadow_faces_median","before_shadow_cache_hits_median","after_shadow_cache_hits_median","change_percent_shadow_cache_hits_median","before_batches_median","after_batches_median","change_percent_batches_median","before_asset_upload_max_bytes","after_asset_upload_max_bytes","change_percent_asset_upload_max_bytes","before_dynamic_upload_median_bytes","after_dynamic_upload_median_bytes","change_percent_dynamic_upload_median_bytes"
"empty","0,772","0,775","0,38860103626943143","2,8222","2,5298","-10,360711501665376","6,32925","7,02655","11,017103132282656","0,291249992889","0,334531241833","14,860515021710285","1,14838538863","1,06105726576","-7,60442650477996","2,50859368876","2,04002078353","-18,67870860592079","0,628","0,635","1,1146496815286566","0,002","0,002","0","0","0,001",,"0,001","0,001","0","0,004","0,004","0","856,7780944735314","912,3937957221891","6,49126087692895","286654464","286478336","-0,06144261545496521","230379520","230645760","0,11556582807361604","62503872","62503872","0","2","2","0","0","0",,"0","0",,"0","0",,"0","0",,"0","0",,"272","272","0"
"small","5,8","5,884","1,4482758620689706","16,7401","14,9894","-10,458121516597885","28,3608","26,86412","-5,27728413867028","5,18973945663","5,34380195287","2,9685978945085845","15,2690152522","13,9021767439","-8,951713556662167","25,5440827097","25,5659379175","0,08555878889204838","5,431","5,582","2,7803351132388077","0,01","0,01","0","0,038","0,031","-18,42105263157895","0,101","0,094","-6,930693069306937","0,008","0,008","0","132,10514850337458","133,3575463327771","0,9480310522269608","286801920","286412800","-0,13567552127963234","230301696","229961728","-0,14761853946573256","75980672","75980672","0","11","11","0","1","1","0","0","0",,"5","5","0","1","1","0","0","0",,"7232","7232","0"
"instances-1000","2,574","2,431","-5,5555555555555465","9,0817","7,062","-22,239228338306695","20,2793","16,53248","-18,476081521551535","1,78666662305","1,78114578985","-0,30900186575240074","6,81587222943","4,99010404484","-26,78700719632895","13,9226236184","14,1059215306","1,3165472056412941","0,1965","0,245","24,68193384223918","0,069","0,062","-10,144927536231895","0,455","0,416","-8,571428571428575","1,144","1,094","-4,370629370629353","0,012","0,013","8,333333333333325","282,7662942577245","313,3966779952133","10,832402715427957","288845824","288862208","0,005672230179110116","232292352","232345600","0,0229228382000235","71217344","71217344","0","11","11","0","1","1","0","0","0",,"2","2","0","1","1","0","0","0",,"133472","133472","0"
"instances-10000-visible","16,471","16,416","-0,3339202234229788","28,9166","29,68945","2,6726862770865223","44,22572","53,47512","20,91407443451456","5,78817694202","5,82499985779","0,6361746736296192","23,3226895348","27,7233743232","18,86868485658011","34,3845210355","43,601978623","26,80699718918149","0,001","0,001","0","0,608","0,567","-6,743421052631582","4,7125","4,441","-5,761273209549078","7,988","8,286999999999999","3,7431146720079855","0,109","0,113","3,669724770642202","56,59363506279511","55,487881187273","-1,9538484748244045","308834304","308772864","-0,019894163052558422","244408320","244252672","-0,06368359309535387","73683136","73683136","0","11","11","0","1","1","0","0","0",,"2","2","0","1","1","0","0","0",,"1321472","1321472","0"
"instances-10000-culled","5,45","5,0925","-6,5596330275229375","13,5516","10,59165","-21,842070309041006","27,10064","15,14447","-44,11766659385166","2,16708328043","2,44934889853","13,025139395842311","9,3373226887","7,57238523179","-18,90196489670344","24,2692410742","11,8866142931","-51,02189534168684","0,001","0,001","0","0,3245","0,32","-1,3867488443759624","2,77","2,726","-1,5884476534296033","0,995","0,647","-34,9748743718593","0,11","0,107","-2,7272727272727337","149,56303233157388","171,82576348712504","14,885183061945263","303570944","303738880","0,055320182421669806","241299456","241172480","-0,05262175145558379","73499584","73499584","0","11","11","0","1","1","0","0","0",,"2","2","0","1","1","0","0","0",,"1281872","1281872","0"
"instances-10000-moving","20,8545","19,37","-7,118367738377806","35,1545","33,1027","-5,836521640188308","59,62081","66,91769","12,238813930907666","7,09132795187","6,81403629198","-3,910292427201567","32,3350122314","29,8094159389","-7,810716985124366","49,519511291","55,3326392741","11,739065737016908","0,001","0,001","0","1,746","1,74","-0,3436426116838476","4,775","4,005","-16,125654450261784","10,874500000000001","9,861","-9,319968734194683","0,117","0,116","-0,8547008547008517","44,343311510564895","46,551521245774644","4,9798034021063975","308408320","309022720","0,1992164154326348","244019200","244400128","0,15610574905580155","73789376","73789376","0","32","32","0","1","1","0","9","9","0","0","0",,"1","1","0","0","0",,"1426806","1426808","0,00014017322607084992"
"lights-1","4,2985","3,69","-14,156100965453067","10,4114","8,22465","-21,003419328812644","25,40006","16,52342","-34,94731902208105","3,55760407981","3,05468742542","-14,13638626187035","9,05121852902","7,44352846411","-17,762139536852718","22,7988577767","14,3026230883","-37,266054166463505","3,967","3,3485","-15,591126796067556","0,009","0,008","-11,111111111111105","0,033","0,028","-15,151515151515149","0,052","0,048","-7,692307692307687","0,008","0,007","-12,5","188,70715607920903","221,73374212245935","17,501501654440467","286785536","286793728","0,0028564899451577475","230313984","230371328","0,02489818421098633","70948032","70948032","0","11","11","0","1","1","0","0","0",,"2","2","0","1","1","0","0","0",,"6224","6224","0"
"lights-8","8,6965","9,321","7,181049847639853","16,90465","25,3004","49,66532877048622","31,35252","42,23644","34,714657705345545","8,35348937939","8,77395811913","5,033450342049806","16,109942315","23,2705723485","44,44851442349809","28,1044159805","41,9119927268","49,12956296932221","8,337","8,899","6,7410339450641565","0,011","0,011","0","0,037","0,031","-16,216216216216218","0,159","0,156","-1,8867924528301883","0,009","0,01","11,111111111111116","98,78611067283938","83,68016999656493","-15,291563331511682","286830592","286793728","-0,012852185585554565","230264832","230301696","0,016009392176741244","82693504","82693504","0","11","11","0","1","1","0","0","0",,"9","9","0","1","1","0","0","0",,"8576","8576","0"
"lights-32","27,072","27,0565","-0,05725472813238319","62,2755","50,2512","-19,30823518076933","92,66275","73,85239","-20,299807635754398","26,6234628917","26,3683847729","-0,9580951953456096","60,6369125821","47,0821342672","-22,354004743475965","92,1771930621","68,4441181207","-25,74723112409267","25,9125","25,8385","-0,28557645923782404","0,013","0,013","0","0,047","0,038","-19,14893617021277","0,5455000000000001","0,517","-5,224564619615046","0,011","0,010499999999999999","-4,545454545454552","29,04730991072329","33,833013777201245","16,475549306241376","422187008","422252544","0,015522978859650038","364806144","364748800","-0,0157190335040025","135402880","135402880","0","58","58","0","2","2","0","24","24","0","29","29","0","2","2","0","0","0",,"17572","17572","0"
"lights-128","121,119","134,0715","10,69402818715477","186,3544","256,1443","37,450095087639454","206,8706","358,20632","73,15477404715797","117,515101298","131,181975964","11,629888001664511","192,599745298","247,649556454","28,582494265931757","208,96514594","357,679990747","71,16729641109639","112,908","128,1305","13,482215609168534","0,016","0,0165","3,125","0,175","0,1875","7,14285714285714","3,4975","3,4355","-1,7726947819871275","0,018","0,017","-5,5555555555555465","7,782441256038127","6,7189891478444395","-13,664762421028131","425492480","425422848","-0,01636503658066779","367792128","367734784","-0,015591415811921916","135518144","135518144","0","1336","1336","0","5","5","0","768","768","0","1","1","0","5","5","0","0","0",,"78420","78420","0"
