"scenario","phase","repeats","timed_frames_min","timed_frames_max","raw_instances","visible_min","visible_max","lights_min","lights_max","wall_median_ms","wall_p95_ms","wall_p99_ms","gpu_median_ms","gpu_p95_ms","gpu_p99_ms","wait_median_ms","view_median_ms","gather_median_ms","plan_median_ms","upload_median_ms","measured_frames_per_second","private_peak_bytes","working_set_peak_bytes","vma_peak_bytes","draws_median","dispatches_median","shadow_faces_median","shadow_cache_hits_median","batches_median","asset_upload_max_bytes","dynamic_upload_median_bytes","wall_run_median_min_ms","wall_run_median_max_ms"
"empty","baseline","3","4168","4414","0","0","0","0","0","0,772","2,8222","6,32925","0,291249992889","1,14838538863","2,50859368876","0,628","0,002","0","0,001","0,004","856,7780944735314","286654464","230379520","62503872","2","0","0","0","0","0","272","0,744","0,808"
"empty","candidate","3","4475","4821","0","0","0","0","0","0,775","2,5298","7,02655","0,334531241833","1,06105726576","2,04002078353","0,635","0,002","0,001","0,001","0,004","912,3937957221891","286478336","230645760","62503872","2","0","0","0","0","0","272","0,743","0,809"
"small","baseline","3","635","731","40","40","40","5","5","5,8","16,7401","28,3608","5,18973945663","15,2690152522","25,5440827097","5,431","0,01","0,038","0,101","0,008","132,10514850337458","286801920","230301696","75980672","11","1","0","5","1","0","7232","5,706","6,283"
"small","candidate","3","644","775","40","40","40","5","5","5,884","14,9894","26,86412","5,34380195287","13,9021767439","25,5659379175","5,582","0,01","0,031","0,094","0,008","133,3575463327771","286412800","229961728","75980672","11","1","0","5","1","0","7232","5,087","6,174"
"instances-1000","baseline","3","1087","1689","1004","1004","1004","2","2","2,574","9,0817","20,2793","1,78666662305","6,81587222943","13,9226236184","0,1965","0,069","0,455","1,144","0,012","282,7662942577245","288845824","232292352","71217344","11","1","0","2","1","0","133472","2,523","2,6265"
"instances-1000","candidate","3","1546","1746","1004","1004","1004","2","2","2,431","7,062","16,53248","1,78114578985","4,99010404484","14,1059215306","0,245","0,062","0,416","1,094","0,013","313,3966779952133","288862208","232345600","71217344","11","1","0","2","1","0","133472","2,39","2,4985"
"instances-10000-visible","baseline","3","262","298","10004","10004","10004","2","2","16,471","28,9166","44,22572","5,78817694202","23,3226895348","34,3845210355","0,001","0,608","4,7125","7,988","0,109","56,59363506279511","308834304","244408320","73683136","11","1","0","2","1","0","1321472","15,9055","16,711"
"instances-10000-visible","candidate","3","215","311","10004","10004","10004","2","2","16,416","29,68945","53,47512","5,82499985779","27,7233743232","43,601978623","0,001","0,567","4,441","8,286999999999999","0,113","55,487881187273","308772864","244252672","73683136","11","1","0","2","1","0","1321472","14,901","16,68"
"instances-10000-culled","baseline","3","583","778","10004","104","104","2","2","5,45","13,5516","27,10064","2,16708328043","9,3373226887","24,2692410742","0,001","0,3245","2,77","0,995","0,11","149,56303233157388","303570944","241299456","73499584","11","1","0","2","1","0","1281872","5,4005","5,835"
"instances-10000-culled","candidate","3","838","868","10004","104","104","2","2","5,0925","10,59165","15,14447","2,44934889853","7,57238523179","11,8866142931","0,001","0,32","2,726","0,647","0,107","171,82576348712504","303738880","241172480","73499584","11","1","0","2","1","0","1281872","4,928","5,144"
