"scenario","phase","repeat","source_hash","build_id","content_hash","shader_hash","timed_frames","actual_duration_ms","measured_frames_per_second","wall_median_ms","wall_p95_ms","wall_p99_ms","gpu_median_ms","gpu_p95_ms","gpu_p99_ms","wait_median_ms","view_median_ms","gather_median_ms","plan_median_ms","upload_median_ms","raw_instances","visible_min","visible_max","lights_min","lights_max","draws_median","dispatches_median","shadow_faces_median","shadow_cache_hits_median","batches_median","asset_upload_max_bytes","dynamic_upload_median_bytes","private_peak_bytes","working_set_peak_bytes","vma_peak_bytes","vma_budget_peak_bytes"
"empty","baseline","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","4168","5000,029","833,595165148042","0,808","3,36165","8,22784","0,338151033411","1,38119527878","2,50859368876","0,676","0,002","0","0,001","0,004","0","0","0","0","0","2","0","0","0","0","0","272","286654464","230379520","62503872","38823561584"
"empty","candidate","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","4475","5000,56","894,8997712256227","0,775","2,9373","7,77132","0,334531241833","1,21470830368","2,0494707833","0,635","0,002","0,001","0,001","0,004","0","0","0","0","0","2","0","0","0","0","0","272","286478336","230645760","62503872","38823561584"
"empty","candidate","2","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","4562","5000,034","912,3937957221891","0,809","2,5298","7,02655","0,34393228327","1,06105726576","1,91916349481","0,669","0,002","0,001","0,001","0,004","0","0","0","0","0","2","0","0","0","0","0","272","286306304","230223872","62503872","38823561584"
"empty","baseline","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","4285","5001,295","856,7780944735314","0,772","2,8222","6,07476","0,291249992889","1,14838538863","3,15591450628","0,628","0,002","0","0,001","0,004","0","0","0","0","0","2","0","0","0","0","0","272","286654464","230514688","62503872","38823561584"
"empty","baseline","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","4414","5019,786","879,3203534971411","0,744","2,49105","6,32925","0,276666659912","1,06354424487","2,05056140827","0,607","0,002","0","0,001","0,004","0","0","0","0","0","2","0","0","0","0","0","272","286097408","230281216","62503872","38823561584"
"empty","candidate","3","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","830fe47c6e74c5888bb0843da5b04097cceacb078d865c52e6de52562ab135a0","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","4821","5000,715","964,0621391141067","0,743","2,442","6,223","0,290364576244","1,03781247466","2,04002078353","0,61","0,002","0,001","0,001","0,004","0","0","0","0","0","2","0","0","0","0","0","272","286658560","230658048","62503872","38823561584"
"small","baseline","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","8a43b8739363807813b9d2caa9cf4a2267ad53c74d08fe898b2571b00c540d78","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","661","5003,59","132,10514850337458","6,283","18,284","28,3608","5,74015610986","17,0561454169","25,5440827097","5,836","0,011","0,038","0,102","0,009","40","40","40","5","5","11","1","0","5","1","0","7232","286801920","230301696","75980672","38823561584"
"small","candidate","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","8a43b8739363807813b9d2caa9cf4a2267ad53c74d08fe898b2571b00c540d78","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","775","5001,017","154,96847941128775","5,087","13,4755","26,86412","4,36911447667","12,3877496976","25,5659379175","4,692","0,009","0,031","0,094","0,007","40","40","40","5","5","11","1","0","5","1","0","7232","286412800","229961728","75980672","38823561584"
"small","candidate","2","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","8a43b8739363807813b9d2caa9cf4a2267ad53c74d08fe898b2571b00c540d78","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","644","5000,986","128,77460564776626","6,174","18,8117","36,3689","5,66911444493","18,4407781956","32,9225679462","5,81","0,01","0,032","0,096","0,008","40","40","40","5","5","11","1","0","5","1","0","7232","286380032","229928960","75980672","38823561584"
"small","baseline","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","8a43b8739363807813b9d2caa9cf4a2267ad53c74d08fe898b2571b00c540d78","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","635","5002,745","126,93031525692395","5,8","16,7401","38,67796","5,18973945663","15,2690152522","36,2153282825","5,431","0,01","0,036","0,101","0,008","40","40","40","5","5","11","1","0","5","1","0","7232","286412800","229879808","75980672","38823561584"
