frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
0,14.175,0.001,0.24,1.915,0.038,0,0,,1,15.625,246169600,309354496,1,73789376,73789376,167755776,38823561584,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426696,3.173,6.709,0.098
1,15.804,0.002,0.21,1.72,0.039,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426708,3.982,7.827,0.124
2,18.214,2.526,0.393,2.235,0.062,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426716,3.506,7.468,0.098
3,18.08,1.45,0.287,1.79,0.072,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426720,3.593,8.829,0.141
4,17.41,0.001,0.291,2.064,0.067,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426680,4.119,8.435,0.121
5,15.501,0.001,0.249,2.02,0.05,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426672,3.661,7.459,0.102
6,22.346,3.841,0.377,2.025,0.05,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426696,4.527,9.321,0.239
7,17.744,0.001,0.23,1.945,0.054,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426724,4.437,8.908,0.112
8,14.654,0.001,0.26,1.66,0.039,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426752,3.093,7.81,0.109
9,23.414,4.354,0.404,1.873,0.064,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426760,4.199,10.255,0.138
10,14.038,0.001,0.274,1.747,0.044,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426808,2.802,7.647,0.126
11,26.276,12.826,0.337,1.734,0.053,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426792,2.912,6.752,0.085
12,15.8,1.105,0.334,1.756,0.05,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426816,3.235,7.131,0.092
13,14.943,0.001,0.191,1.909,0.04,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426836,3.525,7.349,0.104
14,14.98,0.002,0.256,1.517,0.039,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426856,3.779,7.445,0.093
15,15.24,0.001,0.182,1.341,0.035,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426868,3.799,8.113,0.104
16,15.214,0.001,0.22,1.254,0.052,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426900,3.247,8.65,0.116
17,16.133,0.001,0.25,1.743,0.045,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426908,3.74,8.368,0.106
18,15.812,0.002,0.241,1.702,0.052,0,0,,0,,,,0,,,,,10004,10004,0,2,3,21,3,3,1,0,1,30,31,32,1,9,0,2,1,0,1426928,4.266,7.403,0.137
