frame,wall_ms,frame_wait_ms,scene_advance_ms,view_build_ms,render_submit_ms,gpu_valid,gpu_serial,gpu_ms,process_valid,process_cpu_ms,working_set_bytes,private_bytes,vma_valid,vma_allocation_bytes,vma_peak_allocation_bytes,vma_heap_usage_bytes,vma_heap_budget_bytes,raw_instances,visible_instances,culled_instances,lights,depth_draw_calls,shadow_draw_calls,base_draw_calls,lighting_draw_calls,tone_map_draw_calls,legacy_draw_calls,presenter_draw_calls,draw_calls,total_draw_calls,all_draw_calls,dispatch_count,shadow_faces,shadow_cache_hits,shadow_misses,shadow_batches,asset_upload_bytes,dynamic_lighting_upload_bytes,gather_ms,plan_ms,upload_frame_ms
0,106.833,105.232,0.049,0.019,0.05,0,0,,1,15.625,365109248,422567936,1,135409664,135409664,301572096,38823561584,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24124,0.042,0.805,0.01
1,147.128,145.218,0.015,0.021,0.046,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24072,0.117,0.987,0.011
2,61.151,59.198,0.013,0.019,0.053,0,0,,0,,,,0,,,,,40,40,0,33,3,335,3,6,1,0,1,347,348,349,2,192,1,32,2,0,24064,0.045,1.119,0.013
3,52.102,50.072,0.012,0.018,0.061,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24008,0.068,1.124,0.011
4,63.797,61.962,0.021,0.025,0.06,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,23992,0.069,0.916,0.012
5,85.662,83.859,0.018,0.027,0.042,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24024,0.092,0.929,0.01
6,81.783,80.198,0.022,0.029,0.041,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,23960,0.044,0.736,0.008
7,98.575,96.391,0.019,0.025,0.062,0,0,,0,,,,0,,,,,40,40,0,33,3,329,3,6,1,0,1,341,342,343,2,192,1,32,2,0,24056,0.09,1.152,0.015
8,34.546,32.48,0.017,0.021,0.048,0,0,,0,,,,0,,,,,40,40,0,33,3,326,3,6,1,0,1,338,339,340,2,192,1,32,2,0,24068,0.05,1.19,0.012
9,40.832,38.431,0.015,0.023,0.041,0,0,,0,,,,0,,,,,40,40,0,33,3,326,3,6,1,0,1,338,339,340,2,192,1,32,2,0,24080,0.067,1.267,0.011
10,38.618,37.378,0.011,0.017,0.041,0,0,,0,,,,0,,,,,40,40,0,33,3,327,3,6,1,0,1,339,340,341,2,192,1,32,2,0,24072,0.038,0.647,0.009
11,46.014,43.642,0.015,0.021,0.063,0,0,,0,,,,0,,,,,40,40,0,33,3,327,3,6,1,0,1,339,340,341,2,192,1,32,2,0,24064,0.112,1.088,0.013
12,51.525,48.889,0.016,0.022,0.629,0,0,,0,,,,0,,,,,40,40,0,33,3,329,3,6,1,0,1,341,342,343,2,192,1,32,2,0,24028,0.08,1.063,0.014
13,98.106,95.859,0.017,0.025,0.055,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,23980,0.109,1.242,0.015
14,64.2,62.058,0.015,0.023,0.089,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,24048,0.082,1.018,0.014
15,51.438,49.33,0.015,0.022,0.053,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24112,0.112,1.137,0.013
16,28.561,26.411,0.012,0.019,0.053,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24040,0.093,1.234,0.015
17,29.552,27.424,0.011,0.016,0.049,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24040,0.162,1.261,0.016
18,30.095,28.83,0.021,0.03,0.033,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24008,0.09,0.556,0.008
19,35.454,33.519,0.012,0.016,0.074,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24064,0.06,0.98,0.013
20,64.836,63.242,0.018,0.027,0.047,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24036,0.08,0.784,0.01
21,64.453,60.799,0.026,0.031,0.178,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,23972,0.085,1.754,0.012
22,27.217,24.92,0.016,0.02,0.074,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,23948,0.058,1.134,0.013
23,38.919,35.921,0.024,0.028,0.079,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,23960,0.077,1.594,0.014
24,38.204,36.546,0.021,0.03,0.043,0,0,,0,,,,0,,,,,40,40,0,33,3,334,3,6,1,0,1,346,347,348,2,192,1,32,2,0,24008,0.061,0.872,0.011
25,39.61,37.833,0.018,0.026,0.037,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24016,0.07,0.869,0.015
26,44.651,42.838,0.013,0.016,0.054,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24044,0.061,0.934,0.011
27,50.204,47.846,0.017,0.022,0.077,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24076,0.087,1.083,0.019
28,39.111,36.521,0.019,0.024,0.075,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24068,0.064,1.25,0.015
29,53.44,51.909,0.013,0.018,0.047,0,0,,0,,,,0,,,,,40,40,0,33,3,330,3,6,1,0,1,342,343,344,2,192,1,32,2,0,24080,0.044,0.766,0.01
30,98.685,96.509,0.018,0.023,0.06,0,0,,1,46.875,365121536,422547456,1,135409664,135409664,301572096,38823561584,40,40,0,33,3,330,3,6,1,0,1,342,343,344,2,192,1,32,2,0,24144,0.09,0.992,0.037
31,37.847,35.051,0.024,0.028,0.093,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24180,0.081,1.466,0.014
32,50.974,49.168,0.024,0.028,0.05,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24212,0.086,0.812,0.061
33,34.642,31.809,0.022,0.029,0.064,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24180,0.073,1.356,0.013
34,34.522,32.67,0.025,0.028,0.054,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24156,0.068,0.933,0.014
35,72.389,70.428,0.029,0.037,0.052,0,0,,0,,,,0,,,,,40,40,0,33,3,333,3,6,1,0,1,345,346,347,2,192,1,32,2,0,24168,0.078,1.007,0.014
36,59.31,57.904,0.02,0.028,0.045,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24100,0.037,0.678,0.009
37,41.335,39.589,0.014,0.019,0.049,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24008,0.044,0.936,0.015
38,67.45,65.529,0.019,0.025,0.056,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,23980,0.084,1.088,0.012
39,42.807,41.309,0.018,0.025,0.047,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,23968,0.061,0.678,0.013
40,33.657,31.809,0.015,0.019,0.051,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,23988,0.045,0.943,0.012
41,48.207,46.087,0.022,0.028,0.048,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,24000,0.112,1.264,0.016
42,151.349,148.834,0.029,0.037,0.079,0,0,,0,,,,0,,,,,40,40,0,33,3,332,3,6,1,0,1,344,345,346,2,192,1,32,2,0,23960,0.109,1.257,0.012
43,48.664,46.951,0.018,0.023,0.055,0,0,,0,,,,0,,,,,40,40,0,33,3,330,3,6,1,0,1,342,343,344,2,192,1,32,2,0,24000,0.061,0.891,0.011
44,40.807,37.592,0.027,0.032,0.078,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,23944,0.063,1.744,0.021
45,147.506,144.646,0.019,0.024,0.086,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,24048,0.104,1.296,0.017
46,54.764,51.783,0.02,0.027,0.065,0,0,,0,,,,0,,,,,40,40,0,33,3,324,3,6,1,0,1,336,337,338,2,192,1,32,2,0,24016,0.133,1.447,0.015
47,81.78,78.94,0.021,0.026,0.097,0,0,,0,,,,0,,,,,40,40,0,33,3,324,3,6,1,0,1,336,337,338,2,192,1,32,2,0,23992,0.062,1.471,0.037
48,42.674,40.688,0.017,0.025,0.054,0,0,,0,,,,0,,,,,40,40,0,33,3,323,3,6,1,0,1,335,336,337,2,192,1,32,2,0,24036,0.058,1.002,0.017
49,33.179,30.009,0.022,0.026,0.107,0,0,,0,,,,0,,,,,40,40,0,33,3,324,3,6,1,0,1,336,337,338,2,192,1,32,2,0,24028,0.125,1.65,0.018
50,39.848,37.904,0.016,0.022,0.059,0,0,,0,,,,0,,,,,40,40,0,33,3,325,3,6,1,0,1,337,338,339,2,192,1,32,2,0,24060,0.079,1.024,0.013
51,67.798,66.248,0.01,0.016,0.036,0,0,,0,,,,0,,,,,40,40,0,33,3,325,3,6,1,0,1,337,338,339,2,192,1,32,2,0,23984,0.051,0.791,0.022
52,63.705,60.914,0.021,0.028,0.077,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,24088,0.072,1.204,0.014
53,115.406,113.388,0.021,0.024,0.053,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,24068,0.085,1.048,0.015
54,41.346,39.523,0.018,0.023,0.057,0,0,,0,,,,0,,,,,40,40,0,33,3,329,3,6,1,0,1,341,342,343,2,192,1,32,2,0,24048,0.048,0.921,0.011
55,26.054,24.687,0.011,0.015,0.046,0,0,,0,,,,0,,,,,40,40,0,33,3,329,3,6,1,0,1,341,342,343,2,192,1,32,2,0,24044,0.037,0.718,0.01
56,34.079,32.267,0.015,0.053,0.06,0,0,,0,,,,0,,,,,40,40,0,33,3,329,3,6,1,0,1,341,342,343,2,192,1,32,2,0,24008,0.061,0.961,0.013
57,27.259,25.884,0.009,0.013,0.041,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24016,0.071,0.667,0.01
58,40.98,38.9,0.024,0.029,0.082,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24012,0.075,1.101,0.013
59,44.617,42.792,0.015,0.019,0.076,0,0,,0,,,,0,,,,,40,40,0,33,3,330,3,6,1,0,1,342,343,344,2,192,1,32,2,0,24060,0.079,0.874,0.011
60,47.603,45.519,0.016,0.022,0.034,0,0,,1,125,365125632,422547456,1,135409664,135409664,301572096,38823561584,40,40,0,33,3,330,3,6,1,0,1,342,343,344,2,192,1,32,2,0,24020,0.086,1.189,0.013
61,25.62,23.715,0.015,0.023,0.05,0,0,,0,,,,0,,,,,40,40,0,33,3,330,3,6,1,0,1,342,343,344,2,192,1,32,2,0,24064,0.053,1.024,0.012
62,47.032,43.278,0.015,0.346,0.102,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24068,0.078,2.088,0.019
63,28.593,25.85,0.025,0.031,0.057,0,0,,0,,,,0,,,,,40,40,0,33,3,330,3,6,1,0,1,342,343,344,2,192,1,32,2,0,24068,0.135,1.744,0.012
64,79.332,77.143,0.021,0.024,0.065,0,0,,0,,,,0,,,,,40,40,0,33,3,330,3,6,1,0,1,342,343,344,2,192,1,32,2,0,24120,0.055,1.17,0.012
65,43.657,40.921,0.017,0.021,0.077,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,24112,0.061,1.363,0.016
66,38.42,36.65,0.014,0.018,0.079,0,0,,0,,,,0,,,,,40,40,0,33,3,327,3,6,1,0,1,339,340,341,2,192,1,32,2,0,24064,0.07,0.858,0.012
67,31.792,29.768,0.027,0.033,0.058,0,0,,0,,,,0,,,,,40,40,0,33,3,327,3,6,1,0,1,339,340,341,2,192,1,32,2,0,24076,0.087,1.027,0.013
68,38.688,37.036,0.018,0.025,0.067,0,0,,0,,,,0,,,,,40,40,0,33,3,327,3,6,1,0,1,339,340,341,2,192,1,32,2,0,24104,0.075,0.719,0.009
69,50.183,47.067,0.018,0.026,0.067,0,0,,0,,,,0,,,,,40,40,0,33,3,328,3,6,1,0,1,340,341,342,2,192,1,32,2,0,24156,0.117,1.671,0.021
70,80.543,77.579,0.02,0.023,0.71,0,0,,0,,,,0,,,,,40,40,0,33,3,331,3,6,1,0,1,343,344,345,2,192,1,32,2,0,24076,0.098,1.131,0.018
