"scenario","phase","repeat","source_hash","build_id","content_hash","shader_hash","timed_frames","actual_duration_ms","measured_frames_per_second","wall_median_ms","wall_p95_ms","wall_p99_ms","gpu_median_ms","gpu_p95_ms","gpu_p99_ms","wait_median_ms","view_median_ms","gather_median_ms","plan_median_ms","upload_median_ms","raw_instances","visible_min","visible_max","lights_min","lights_max","draws_median","dispatches_median","shadow_faces_median","shadow_cache_hits_median","batches_median","asset_upload_max_bytes","dynamic_upload_median_bytes","private_peak_bytes","working_set_peak_bytes","vma_peak_bytes","vma_budget_peak_bytes"
"instances-10000-visible","baseline","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","268","5003,712","53,56023688014018","17,431","26,47225","55,09602","8,23622375725","21,4799708298","50,2289347112","0,001","0,606","4,9985","8,457","0,113","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","309182464","244731904","73683136","38823561584"
"instances-10000-visible","candidate","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","277","5012,443","55,2624738076822","16,651","28,23","52,3646","7,91531230676","24,2785723239","46,0859259582","0,001","0,567","4,425","8,124","0,116","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","308748288","244293632","73683136","38823561584"
"instances-10000-visible","candidate","2","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","294","5020,342","58,56174738693102","15,6495","29,3697","37,80797","5,97744777073","24,5062598184","38,6020672867","0,001","0,5485","4,34","7,9035","0,113","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","309014528","244469760","73683136","38823561584"
"instances-10000-visible","baseline","2","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","266","5003,633","53,16137294641714","16,1795","34,2015","58,3399","7,618359189","30,9380591405","51,3310924968","0,001","0,5725","4,627","7,845000000000001","0,11","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","308953088","244494336","73683136","38823561584"
"instances-10000-visible","baseline","3","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","286","5015,071","57,02810588324672","16,0855","28,3115","43,99695","5,90458318918","24,3721218008","41,4875979455","0,001","0,583","4,4670000000000005","7,948","0,109","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","309256192","244858880","73683136","38823561584"
"instances-10000-visible","candidate","3","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","277","5010,053","55,28883626580397","16,326","29,8252","52,62404","6,71406233608","24,8180618941","39,6743511147","0,001","0,573","4,55","7,899","0,115","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","310394880","244862976","73683136","38823561584"
"instances-10000-visible","candidate","4","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","252","5008,654","50,31291840083183","16,79","38,21325","88,94541","5,64369777888","32,8824445097","70,0392863109","0,001","0,5875","4,552","8,1765","0,1135","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","309600256","244744192","73683136","38823561584"
"instances-10000-visible","baseline","4","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","43fb8ce3094aefb12b559bbbc293313172a7eb19adc92f9f1769a32ea728b879","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","230","5014,467","45,867287590086846","17,6855","45,01485","80,1531","6,9699477465","38,0271917799","77,4638262338","0,001","0,6495","4,775","8,650500000000001","0,114","10004","10004","10004","2","2","11","1","0","2","1","0","1321472","309202944","244531200","73683136","38823561584"
"instances-10000-moving","baseline","1","f63bb3ee1401fec050d561546fa5ac365bf18d10fbe6566f2120f68b344e4bc8","b7c778abbb67868a7a89c52d49895755dcb4fd687e5e986b955cf35bb0cf85e9","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","228","5004,759","45,55663919081818","19,9175","34,69325","54,93259","6,7419529604","31,7703117244","44,4816405807","0,001","1,7165","4,459","10,3565","0,113","10004","10004","10004","2","2","32","1","9","0","1","0","1426842","309129216","244572160","73789376","38823561584"
"instances-10000-moving","candidate","1","d43e137c25b7a1b1f339ecbc6ba8efcb9ca68ef4be06c3cdfaf008ef9c301b0f","18a0005cbafacd7a73adde631740551632e38d75acae099d4b7fd47690268c81","9fbb26ea46fffcbb5377d8bc67563361407b4b2682bdcb3590396458e6a4412e","63165125d7ce2a7d905193b4ed88eb47b54224f68917182503e699331405869a","163","5009,571","32,53771630345193","24,234","59,7507","130,67722","16,0161454423","60,5521651883","120,357981437","0,002","2,117","4,883","11,947","0,133","10004","10004","10004","2","2","32","1","9","0","1","0","1426856","308830208","244338688","73789376","38823561584"
