kind,index,name,duration_ms,from_cache,source_hash,source_id,working_set_bytes,private_bytes,peak_working_set_bytes,peak_private_bytes,restored
stage,0,initial_import,103.16,0,cd44f7f822ce27933d3368d29c5c566289724418ac7c00e5083b5cdbcaaa7815,,14888960,9310208,14888960,9310208,
stage,0,cooked_cold_load,81.453,0,cd44f7f822ce27933d3368d29c5c566289724418ac7c00e5083b5cdbcaaa7815,,20660224,15134720,20660224,15134720,
stage,0,cooked_warm_load,29.127,1,cd44f7f822ce27933d3368d29c5c566289724418ac7c00e5083b5cdbcaaa7815,,26333184,20770816,26333184,20770816,
stage,0,material_document_asset_load_unload,264.634,1,cd44f7f822ce27933d3368d29c5c566289724418ac7c00e5083b5cdbcaaa7815,,26894336,21667840,26894336,21667840,
stage,0,file_move_redo_1,94.076,0,,,15773696,9633792,15773696,9633792,
stage,0,file_move_undo_1,106.26,0,,,15802368,9973760,15802368,9973760,
stage,0,file_move_redo_again_1,100.416,0,,,15802368,9973760,15802368,9973760,
stage,0,file_move_final_undo_1,94.827,0,,,15802368,9973760,15802368,9973760,
stage,0,file_copy_redo_1,75.239,0,,,15802368,9650176,15839232,9973760,
stage,0,file_copy_undo_1,79.025,0,,,15802368,9650176,15802368,9650176,
stage,0,file_copy_redo_again_1,78.593,0,,,15806464,9654272,15806464,9654272,
stage,0,file_copy_final_undo_1,71.432,0,,,15806464,9654272,15806464,9654272,
stage,0,file_move_redo_2,99.38,0,,,15814656,9973760,15814656,9973760,
stage,0,file_move_undo_2,118.279,0,,,15822848,9981952,15822848,9981952,
stage,0,file_move_redo_again_2,109.358,0,,,15822848,9981952,15822848,9981952,
stage,0,file_move_final_undo_2,105.173,0,,,15822848,9981952,15822848,9981952,
stage,0,file_copy_redo_2,73.288,0,,,15839232,9695232,15839232,9695232,
stage,0,file_copy_undo_2,68.069,0,,,15843328,9695232,15843328,9695232,
stage,0,file_copy_redo_again_2,77.631,0,,,15843328,9695232,15843328,9695232,
stage,0,file_copy_final_undo_2,67.585,0,,,15843328,9695232,15843328,9695232,
stage,0,file_move_redo_3,105.042,0,,,15835136,9682944,15835136,9682944,
stage,0,file_move_undo_3,107.849,0,,,15851520,9723904,15851520,9723904,
stage,0,file_move_redo_again_3,103.294,0,,,15851520,9990144,15851520,9990144,
stage,0,file_move_final_undo_3,105.412,0,,,15867904,9990144,15867904,9990144,
stage,0,file_copy_redo_3,87.193,0,,,15859712,9986048,15859712,9986048,
stage,0,file_copy_undo_3,103.577,0,,,15863808,9990144,15863808,9990144,
stage,0,file_copy_redo_again_3,119.93,0,,,15863808,9990144,15863808,9990144,
stage,0,file_copy_final_undo_3,137.043,0,,,15863808,9990144,15863808,9990144,
stage,0,file_move_redo_4,129.629,0,,,15876096,9723904,15876096,9723904,
stage,0,file_move_undo_4,121.894,0,,,15876096,9723904,15876096,9723904,
stage,0,file_move_redo_again_4,103.374,0,,,15876096,9723904,15876096,9723904,
stage,0,file_move_final_undo_4,101.638,0,,,15876096,9723904,15876096,9723904,
stage,0,file_copy_redo_4,101.786,0,,,15912960,9768960,15912960,9768960,
stage,0,file_copy_undo_4,100.917,0,,,15933440,9998336,15933440,9998336,
stage,0,file_copy_redo_again_4,172.24,0,,,15933440,9998336,15933440,9998336,
stage,0,file_copy_final_undo_4,78.387,0,,,15941632,9998336,15941632,9998336,
stage,0,file_move_redo_5,118.735,0,,,15904768,9998336,15904768,9998336,
stage,0,file_move_undo_5,136.828,0,,,15912960,10006528,15912960,10006528,
