label,variant,repeat,wall_median_ms,wall_p95_ms,wall_p99_ms,gpu_median_ms,gpu_p95_ms,gpu_p99_ms,process_cpu_ms_last,process_cpu_ratio_1core,process_cpu_ratio_16core,target_width,target_height,session_scene_frames,timed_scene_frames,working_set_peak,private_bytes_peak,vma_allocation_peak,dimensions_stable,gpu_complete
baseline,editor-idle,1,48.1385,198.4457,267.76139,7.59557273123,70.6336701505,138.059900275,125,0.024386066152959553,0.001524129134559972,989,738,100,74,266559488,219586560,28312000,true,true
baseline,editor-idle,2,73.645,210.8458,295.69952,7.41968731886,102.056643342,159.025750284,93.75,0.018681923072324448,0.001167620192020278,989,738,71,53,266604544,219717632,28312000,true,true
baseline,editor-idle,3,56.999,178.18995,197.6564,7.58903627305,62.266266709,74.5814987,46.875,0.009309849671995376,0.000581865604499711,989,738,94,68,266395648,219545600,28312000,true,true
baseline,editor-interactive,1,81.342,230.2592,361.06824,6.9194269144,82.5071646523,149.234188023,78.125,0.015131984803129247,0.0009457490501955779,989,738,77,53,266551296,219566080,28312000,true,true
baseline,editor-interactive,2,17.633,133.3909,218.4474,2.54958327109,50.8358425089,132.960346754,140.625,0.028037763303258245,0.0017523602064536403,989,738,157,119,266641408,219729920,28312000,true,true
baseline,editor-interactive,3,14.466,28.62425,37.60921,1.07924476532,6.41734359333,16.0247027338,390.625,0.07786544333119977,0.0048665902081999855,989,738,478,338,266842112,219967488,28312000,true,true
candidate,editor-idle,1,13.875,33.8398,43.06618,1.08765622345,9.50195028885,26.3368378987,437.5,0.08744130939313534,0.005465081837070959,989,738,443,320,266686464,219783168,28312000,true,true
candidate,editor-idle,2,12.768,24.1754,36.55213,1.1044791397,3.84779417689,30.179534159,531.25,0.10616835653382549,0.006635522283364093,989,738,491,362,266858496,220033024,28312000,true,true
candidate,editor-idle,3,14.056,33.023,60.1682,1.12598955584,10.9568747325,38.2097074005,406.25,0.08050739974475439,0.005031712484047149,989,738,451,321,266567680,219709440,28312000,true,true
candidate,editor-interactive,1,13.673,32.98465,40.50623,0.993619767408,5.16217435314,19.6751318113,609.375,0.12115827610189164,0.007572392256368228,989,738,454,342,266723328,219619328,28312000,true,true
candidate,editor-interactive,2,14.213,38.8824,48.3368,1.0456770578,12.6816142737,35.6250616302,453.125,0.09004843786205682,0.0056280273663785515,989,738,409,293,266674176,219791360,28312000,true,true
candidate,editor-interactive,3,16.0655,33.03425,41.3472,0.955052060017,4.46802072425,21.3259552085,406.25,0.08078477662835265,0.005049048539272041,989,738,423,296,266682368,219820032,28312000,true,true
baseline,idle,aggregate,56.999,198.4457,267.76139,7.58903627305,70.6336701505,138.059900275,93.75,0.0186819230723244,0.00116762019202028,989,738,94,68,266559488,219586560,28312000,true,true
baseline,interactive,aggregate,17.633,133.3909,218.4474,2.54958327109,50.8358425089,132.960346754,140.625,0.0280377633032582,0.00175236020645364,989,738,157,119,266641408,219729920,28312000,true,true
candidate,idle,aggregate,13.875,33.023,43.06618,1.1044791397,9.50195028885,30.179534159,437.5,0.0874413093931353,0.00546508183707096,989,738,451,321,266686464,219783168,28312000,true,true
candidate,interactive,aggregate,14.213,33.03425,41.3472,0.993619767408,5.16217435314,21.3259552085,453.125,0.0900484378620568,0.00562802736637855,989,738,423,296,266682368,219791360,28312000,true,true
