[Metrics] FPS: 736.673157 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.085824ms | CPU: 0.000000% | RAM: 604MB
[Metrics] FPS: 889.922852 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.087168ms | CPU: 7.550339% | RAM: 604MB
[Metrics] FPS: 1493.549194 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.080736ms | CPU: 7.815681% | RAM: 606MB
[Metrics] FPS: 1597.366699 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.076544ms | CPU: 7.810099% | RAM: 606MB
[Metrics] FPS: 1430.363647 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.076192ms | CPU: 7.535690% | RAM: 606MB
[Metrics] FPS: 1572.099243 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075744ms | CPU: 8.340940% | RAM: 606MB
[Metrics] FPS: 1567.293335 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.078432ms | CPU: 8.071890% | RAM: 606MB
[Metrics] FPS: 1520.307129 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.076288ms | CPU: 8.307729% | RAM: 606MB
[Metrics] FPS: 1352.254517 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.076448ms | CPU: 6.249445% | RAM: 606MB
[Metrics] FPS: 1525.188843 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075968ms | CPU: 8.069021% | RAM: 606MB
[Metrics] FPS: 1511.583618 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075424ms | CPU: 8.308667% | RAM: 606MB
[Metrics] FPS: 1341.060425 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075040ms | CPU: 8.075691% | RAM: 606MB
[Metrics] FPS: 1437.487183 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.073984ms | CPU: 8.327053% | RAM: 606MB
[Metrics] FPS: 1671.558350 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.076000ms | CPU: 8.333912% | RAM: 606MB
[Metrics] FPS: 1627.204712 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075520ms | CPU: 8.318609% | RAM: 606MB
[Metrics] FPS: 1387.727051 | Visible chunks: 576 | Visible polys: 34216 | GPU: 0.075808ms | CPU: 8.320593% | RAM: 606MB
